Report Date:,10/7/2015 2:49:24 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,DB-2_10m_monitoring_2015-10-07_14-49-04-965.wsl
Create Date,10/7/2015 2:49:01 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361655
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,DB-2_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1149 (m)
,Head Pressure:,14.3723 (PSI)
,Temperature:,26.4282 (C)



Log Notes:
Date and Time,Note
10/7/2015 2:48:16 PM ,Manual Stop Command


Log Data:
Record Count,2718

Sensors,1

 ,1,361655,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361655                   ,SN#: 361655                   ,SN#: 361655                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.402,                        27.393,                        10.136,
6/16/2015 10:00:00 AM,       1.000,                        14.408,                        27.201,                        10.140,
6/16/2015 11:00:00 AM,       2.000,                        14.390,                        26.863,                        10.128,
6/16/2015 12:00:00 PM,       3.000,                        14.389,                        26.573,                        10.127,
6/16/2015 1:00:00 PM ,       4.000,                        14.395,                        26.380,                        10.131,
6/16/2015 2:00:00 PM ,       5.000,                        14.362,                        26.235,                        10.107,
6/16/2015 3:00:00 PM ,       6.000,                        14.355,                        26.138,                        10.102,
6/16/2015 4:00:00 PM ,       7.000,                        14.356,                        25.702,                        10.104,
6/16/2015 5:00:00 PM ,       8.000,                        14.358,                        25.313,                        10.105,
6/16/2015 6:00:00 PM ,       9.000,                        14.381,                        24.973,                        10.121,
6/16/2015 7:00:00 PM ,      10.000,                        14.400,                        24.681,                        10.134,
6/16/2015 8:00:00 PM ,      11.000,                        14.388,                        24.340,                        10.126,
6/16/2015 9:00:00 PM ,      12.000,                        14.408,                        24.242,                        10.140,
6/16/2015 10:00:00 PM,      13.000,                        14.396,                        24.681,                        10.132,
6/16/2015 11:00:00 PM,      14.000,                        14.401,                        25.216,                        10.135,
6/17/2015 12:00:00 AM,      15.000,                        14.397,                        25.799,                        10.132,
6/17/2015 1:00:00 AM ,      16.000,                        14.395,                        26.235,                        10.131,
6/17/2015 2:00:00 AM ,      17.000,                        14.399,                        26.573,                        10.134,
6/17/2015 3:00:00 AM ,      18.000,                        14.394,                        26.815,                        10.130,
6/17/2015 4:00:00 AM ,      19.000,                        14.408,                        27.056,                        10.140,
6/17/2015 5:00:00 AM ,      20.000,                        14.402,                        27.201,                        10.135,
6/17/2015 6:00:00 AM ,      21.000,                        14.392,                        27.345,                        10.129,
6/17/2015 7:00:00 AM ,      22.000,                        14.402,                        27.393,                        10.136,
6/17/2015 8:00:00 AM ,      23.000,                        14.393,                        27.490,                        10.129,
6/17/2015 9:00:00 AM ,      24.000,                        14.406,                        27.538,                        10.139,
6/17/2015 10:00:00 AM,      25.000,                        14.395,                        27.104,                        10.131,
6/17/2015 11:00:00 AM,      26.000,                        14.392,                        26.235,                        10.128,
6/17/2015 12:00:00 PM,      27.000,                        14.393,                        25.556,                        10.129,
6/17/2015 1:00:00 PM ,      28.000,                        14.374,                        25.119,                        10.116,
6/17/2015 2:00:00 PM ,      29.000,                        14.360,                        24.730,                        10.106,
6/17/2015 3:00:00 PM ,      30.000,                        14.332,                        24.486,                        10.087,
6/17/2015 4:00:00 PM ,      31.000,                        14.362,                        24.291,                        10.107,
6/17/2015 5:00:00 PM ,      32.000,                        14.348,                        24.145,                        10.098,
6/17/2015 6:00:00 PM ,      33.000,                        14.351,                        24.096,                        10.100,
6/17/2015 7:00:00 PM ,      34.000,                        14.363,                        23.900,                        10.109,
6/17/2015 8:00:00 PM ,      35.000,                        14.366,                        23.656,                        10.110,
6/17/2015 9:00:00 PM ,      36.000,                        14.381,                        23.362,                        10.121,
6/17/2015 10:00:00 PM,      37.000,                        14.384,                        23.117,                        10.123,
6/17/2015 11:00:00 PM,      38.000,                        14.401,                        23.117,                        10.135,
6/18/2015 12:00:00 AM,      39.000,                        14.379,                        23.607,                        10.120,
6/18/2015 1:00:00 AM ,      40.000,                        14.388,                        24.193,                        10.126,
6/18/2015 2:00:00 AM ,      41.000,                        14.413,                        24.730,                        10.144,
6/18/2015 3:00:00 AM ,      42.000,                        14.405,                        25.168,                        10.138,
6/18/2015 4:00:00 AM ,      43.000,                        14.409,                        25.508,                        10.141,
6/18/2015 5:00:00 AM ,      44.000,                        14.407,                        25.750,                        10.139,
6/18/2015 6:00:00 AM ,      45.000,                        14.407,                        25.944,                        10.139,
6/18/2015 7:00:00 AM ,      46.000,                        14.421,                        26.138,                        10.149,
6/18/2015 8:00:00 AM ,      47.000,                        14.445,                        26.235,                        10.166,
6/18/2015 9:00:00 AM ,      48.000,                        14.418,                        26.283,                        10.147,
6/18/2015 10:00:00 AM,      49.000,                        14.398,                        26.235,                        10.133,
6/18/2015 11:00:00 AM,      50.000,                        14.398,                        26.186,                        10.133,
6/18/2015 12:00:00 PM,      51.000,                        14.411,                        26.186,                        10.142,
6/18/2015 1:00:00 PM ,      52.000,                        14.398,                        26.186,                        10.133,
6/18/2015 2:00:00 PM ,      53.000,                        14.373,                        25.702,                        10.115,
6/18/2015 3:00:00 PM ,      54.000,                        14.381,                        25.168,                        10.121,
6/18/2015 4:00:00 PM ,      55.000,                        14.390,                        24.778,                        10.127,
6/18/2015 5:00:00 PM ,      56.000,                        14.372,                        24.535,                        10.115,
6/18/2015 6:00:00 PM ,      57.000,                        14.388,                        24.291,                        10.126,
6/18/2015 7:00:00 PM ,      58.000,                        14.381,                        24.291,                        10.121,
6/18/2015 8:00:00 PM ,      59.000,                        14.393,                        24.584,                        10.129,
6/18/2015 9:00:00 PM ,      60.000,                        14.430,                        24.876,                        10.156,
6/18/2015 10:00:00 PM,      61.000,                        14.424,                        25.119,                        10.151,
6/18/2015 11:00:00 PM,      62.000,                        14.425,                        25.411,                        10.152,
6/19/2015 12:00:00 AM,      63.000,                        14.426,                        25.702,                        10.153,
6/19/2015 1:00:00 AM ,      64.000,                        14.424,                        25.896,                        10.151,
6/19/2015 2:00:00 AM ,      65.000,                        14.441,                        26.041,                        10.163,
6/19/2015 3:00:00 AM ,      66.000,                        14.438,                        26.138,                        10.161,
6/19/2015 4:00:00 AM ,      67.000,                        14.448,                        26.138,                        10.168,
6/19/2015 5:00:00 AM ,      68.000,                        14.465,                        26.186,                        10.180,
6/19/2015 6:00:00 AM ,      69.000,                        14.435,                        26.235,                        10.159,
6/19/2015 7:00:00 AM ,      70.000,                        14.448,                        26.235,                        10.168,
6/19/2015 8:00:00 AM ,      71.000,                        14.465,                        26.283,                        10.180,
6/19/2015 9:00:00 AM ,      72.000,                        14.468,                        26.283,                        10.182,
6/19/2015 10:00:00 AM,      73.000,                        14.456,                        25.653,                        10.174,
6/19/2015 11:00:00 AM,      74.000,                        14.457,                        24.876,                        10.174,
6/19/2015 12:00:00 PM,      75.000,                        14.444,                        24.096,                        10.165,
6/19/2015 1:00:00 PM ,      76.000,                        14.439,                        23.754,                        10.162,
6/19/2015 2:00:00 PM ,      77.000,                        14.432,                        23.607,                        10.157,
6/19/2015 3:00:00 PM ,      78.000,                        14.412,                        23.509,                        10.143,
6/19/2015 4:00:00 PM ,      79.000,                        14.425,                        23.509,                        10.152,
6/19/2015 5:00:00 PM ,      80.000,                        14.432,                        23.558,                        10.157,
6/19/2015 6:00:00 PM ,      81.000,                        14.399,                        23.607,                        10.134,
6/19/2015 7:00:00 PM ,      82.000,                        14.412,                        23.558,                        10.143,
6/19/2015 8:00:00 PM ,      83.000,                        14.430,                        23.998,                        10.156,
6/19/2015 9:00:00 PM ,      84.000,                        14.429,                        24.632,                        10.155,
6/19/2015 10:00:00 PM,      85.000,                        14.434,                        25.119,                        10.159,
6/19/2015 11:00:00 PM,      86.000,                        14.446,                        25.556,                        10.167,
