Report Date:,10/7/2015 2:25:59 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-2_10m_monitoring_2015-10-07_14-25-44-997.wsl
Create Date,10/7/2015 2:25:42 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361494
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-2_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1572 (m)
,Head Pressure:,14.4325 (PSI)
,Temperature:,25.0403 (C)



Log Notes:
Date and Time,Note
10/7/2015 2:24:55 PM ,Manual Stop Command


Log Data:
Record Count,2718

Sensors,1

 ,1,361494,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361494                   ,SN#: 361494                   ,SN#: 361494                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.480,                        27.371,                        10.190,
6/16/2015 10:00:00 AM,       1.000,                        14.467,                        27.226,                        10.182,
6/16/2015 11:00:00 AM,       2.000,                        14.462,                        26.936,                        10.178,
6/16/2015 12:00:00 PM,       3.000,                        14.457,                        26.694,                        10.175,
6/16/2015 1:00:00 PM ,       4.000,                        14.441,                        26.451,                        10.163,
6/16/2015 2:00:00 PM ,       5.000,                        14.424,                        26.257,                        10.151,
6/16/2015 3:00:00 PM ,       6.000,                        14.436,                        26.112,                        10.159,
6/16/2015 4:00:00 PM ,       7.000,                        14.422,                        25.723,                        10.150,
6/16/2015 5:00:00 PM ,       8.000,                        14.413,                        25.382,                        10.144,
6/16/2015 6:00:00 PM ,       9.000,                        14.441,                        25.040,                        10.163,
6/16/2015 7:00:00 PM ,      10.000,                        14.432,                        24.796,                        10.157,
6/16/2015 8:00:00 PM ,      11.000,                        14.427,                        24.356,                        10.153,
6/16/2015 9:00:00 PM ,      12.000,                        14.438,                        24.307,                        10.161,
6/16/2015 10:00:00 PM,      13.000,                        14.460,                        24.698,                        10.176,
6/16/2015 11:00:00 PM,      14.000,                        14.461,                        25.235,                        10.177,
6/17/2015 12:00:00 AM,      15.000,                        14.438,                        25.723,                        10.161,
6/17/2015 1:00:00 AM ,      16.000,                        14.460,                        26.160,                        10.176,
6/17/2015 2:00:00 AM ,      17.000,                        14.469,                        26.500,                        10.183,
6/17/2015 3:00:00 AM ,      18.000,                        14.462,                        26.839,                        10.178,
6/17/2015 4:00:00 AM ,      19.000,                        14.450,                        27.033,                        10.170,
6/17/2015 5:00:00 AM ,      20.000,                        14.463,                        27.226,                        10.179,
6/17/2015 6:00:00 AM ,      21.000,                        14.491,                        27.323,                        10.199,
6/17/2015 7:00:00 AM ,      22.000,                        14.480,                        27.420,                        10.190,
6/17/2015 8:00:00 AM ,      23.000,                        14.468,                        27.565,                        10.182,
6/17/2015 9:00:00 AM ,      24.000,                        14.468,                        27.613,                        10.182,
6/17/2015 10:00:00 AM,      25.000,                        14.471,                        27.178,                        10.184,
6/17/2015 11:00:00 AM,      26.000,                        14.485,                        26.403,                        10.194,
6/17/2015 12:00:00 PM,      27.000,                        14.451,                        25.723,                        10.170,
6/17/2015 1:00:00 PM ,      28.000,                        14.457,                        25.284,                        10.175,
6/17/2015 2:00:00 PM ,      29.000,                        14.420,                        24.894,                        10.148,
6/17/2015 3:00:00 PM ,      30.000,                        14.415,                        24.601,                        10.145,
6/17/2015 4:00:00 PM ,      31.000,                        14.431,                        24.405,                        10.156,
6/17/2015 5:00:00 PM ,      32.000,                        14.418,                        24.209,                        10.147,
6/17/2015 6:00:00 PM ,      33.000,                        14.414,                        24.111,                        10.144,
6/17/2015 7:00:00 PM ,      34.000,                        14.398,                        24.062,                        10.133,
6/17/2015 8:00:00 PM ,      35.000,                        14.445,                        23.768,                        10.166,
6/17/2015 9:00:00 PM ,      36.000,                        14.436,                        23.473,                        10.160,
6/17/2015 10:00:00 PM,      37.000,                        14.460,                        23.178,                        10.176,
6/17/2015 11:00:00 PM,      38.000,                        14.444,                        23.178,                        10.165,
6/18/2015 12:00:00 AM,      39.000,                        14.441,                        23.670,                        10.163,
6/18/2015 1:00:00 AM ,      40.000,                        14.454,                        24.209,                        10.173,
6/18/2015 2:00:00 AM ,      41.000,                        14.452,                        24.698,                        10.171,
6/18/2015 3:00:00 AM ,      42.000,                        14.461,                        25.138,                        10.177,
6/18/2015 4:00:00 AM ,      43.000,                        14.450,                        25.430,                        10.169,
6/18/2015 5:00:00 AM ,      44.000,                        14.479,                        25.723,                        10.190,
6/18/2015 6:00:00 AM ,      45.000,                        14.499,                        25.966,                        10.204,
6/18/2015 7:00:00 AM ,      46.000,                        14.476,                        26.112,                        10.188,
6/18/2015 8:00:00 AM ,      47.000,                        14.504,                        26.257,                        10.208,
6/18/2015 9:00:00 AM ,      48.000,                        14.468,                        26.306,                        10.182,
6/18/2015 10:00:00 AM,      49.000,                        14.484,                        26.209,                        10.194,
6/18/2015 11:00:00 AM,      50.000,                        14.492,                        26.209,                        10.199,
6/18/2015 12:00:00 PM,      51.000,                        14.476,                        26.209,                        10.188,
6/18/2015 1:00:00 PM ,      52.000,                        14.460,                        26.257,                        10.177,
6/18/2015 2:00:00 PM ,      53.000,                        14.455,                        25.820,                        10.173,
6/18/2015 3:00:00 PM ,      54.000,                        14.425,                        25.284,                        10.152,
6/18/2015 4:00:00 PM ,      55.000,                        14.464,                        24.894,                        10.180,
6/18/2015 5:00:00 PM ,      56.000,                        14.447,                        24.650,                        10.168,
6/18/2015 6:00:00 PM ,      57.000,                        14.431,                        24.503,                        10.156,
6/18/2015 7:00:00 PM ,      58.000,                        14.447,                        24.454,                        10.167,
6/18/2015 8:00:00 PM ,      59.000,                        14.456,                        24.698,                        10.173,
6/18/2015 9:00:00 PM ,      60.000,                        14.472,                        24.894,                        10.185,
6/18/2015 10:00:00 PM,      61.000,                        14.477,                        25.187,                        10.189,
6/18/2015 11:00:00 PM,      62.000,                        14.498,                        25.430,                        10.203,
6/19/2015 12:00:00 AM,      63.000,                        14.511,                        25.723,                        10.212,
6/19/2015 1:00:00 AM ,      64.000,                        14.511,                        25.917,                        10.213,
6/19/2015 2:00:00 AM ,      65.000,                        14.472,                        26.063,                        10.185,
6/19/2015 3:00:00 AM ,      66.000,                        14.508,                        26.112,                        10.210,
6/19/2015 4:00:00 AM ,      67.000,                        14.492,                        26.160,                        10.199,
6/19/2015 5:00:00 AM ,      68.000,                        14.504,                        26.209,                        10.208,
6/19/2015 6:00:00 AM ,      69.000,                        14.508,                        26.209,                        10.211,
6/19/2015 7:00:00 AM ,      70.000,                        14.516,                        26.257,                        10.216,
6/19/2015 8:00:00 AM ,      71.000,                        14.512,                        26.257,                        10.213,
6/19/2015 9:00:00 AM ,      72.000,                        14.516,                        26.257,                        10.216,
6/19/2015 10:00:00 AM,      73.000,                        14.503,                        25.771,                        10.207,
6/19/2015 11:00:00 AM,      74.000,                        14.513,                        24.992,                        10.214,
6/19/2015 12:00:00 PM,      75.000,                        14.515,                        24.307,                        10.215,
6/19/2015 1:00:00 PM ,      76.000,                        14.502,                        23.866,                        10.206,
6/19/2015 2:00:00 PM ,      77.000,                        14.509,                        23.670,                        10.211,
6/19/2015 3:00:00 PM ,      78.000,                        14.481,                        23.571,                        10.191,
6/19/2015 4:00:00 PM ,      79.000,                        14.485,                        23.522,                        10.194,
6/19/2015 5:00:00 PM ,      80.000,                        14.473,                        23.571,                        10.186,
6/19/2015 6:00:00 PM ,      81.000,                        14.457,                        23.621,                        10.174,
6/19/2015 7:00:00 PM ,      82.000,                        14.469,                        23.621,                        10.183,
6/19/2015 8:00:00 PM ,      83.000,                        14.482,                        24.062,                        10.192,
6/19/2015 9:00:00 PM ,      84.000,                        14.488,                        24.650,                        10.196,
6/19/2015 10:00:00 PM,      85.000,                        14.513,                        25.138,                        10.214,
6/19/2015 11:00:00 PM,      86.000,                        14.502,                        25.577,                        10.206,
