Report Date:,10/7/2015 4:39:36 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,IB-1_50m_monitoring_2015-10-07_16-39-25-009.wsl
Create Date,10/7/2015 4:39:21 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361489
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,IB-1_50m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.2067 (m)
,Head Pressure:,14.5028 (PSI)
,Temperature:,24.9843 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:38:44 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361489,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361489                   ,SN#: 361489                   ,SN#: 361489                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.510,                        27.169,                        10.212,
6/16/2015 10:00:00 AM,       1.000,                        14.515,                        27.072,                        10.215,
6/16/2015 11:00:00 AM,       2.000,                        14.506,                        26.734,                        10.209,
6/16/2015 12:00:00 PM,       3.000,                        14.491,                        26.491,                        10.198,
6/16/2015 1:00:00 PM ,       4.000,                        14.498,                        26.249,                        10.203,
6/16/2015 2:00:00 PM ,       5.000,                        14.500,                        26.055,                        10.205,
6/16/2015 3:00:00 PM ,       6.000,                        14.523,                        25.958,                        10.221,
6/16/2015 4:00:00 PM ,       7.000,                        14.486,                        25.715,                        10.195,
6/16/2015 5:00:00 PM ,       8.000,                        14.464,                        25.423,                        10.179,
6/16/2015 6:00:00 PM ,       9.000,                        14.496,                        25.179,                        10.202,
6/16/2015 7:00:00 PM ,      10.000,                        14.499,                        24.936,                        10.204,
6/16/2015 8:00:00 PM ,      11.000,                        14.507,                        24.594,                        10.210,
6/16/2015 9:00:00 PM ,      12.000,                        14.505,                        24.350,                        10.208,
6/16/2015 10:00:00 PM,      13.000,                        14.541,                        24.643,                        10.234,
6/16/2015 11:00:00 PM,      14.000,                        14.515,                        25.082,                        10.215,
6/17/2015 12:00:00 AM,      15.000,                        14.527,                        25.520,                        10.224,
6/17/2015 1:00:00 AM ,      16.000,                        14.527,                        25.958,                        10.224,
6/17/2015 2:00:00 AM ,      17.000,                        14.528,                        26.298,                        10.224,
6/17/2015 3:00:00 AM ,      18.000,                        14.529,                        26.588,                        10.225,
6/17/2015 4:00:00 AM ,      19.000,                        14.522,                        26.831,                        10.220,
6/17/2015 5:00:00 AM ,      20.000,                        14.503,                        26.976,                        10.207,
6/17/2015 6:00:00 AM ,      21.000,                        14.510,                        27.121,                        10.212,
6/17/2015 7:00:00 AM ,      22.000,                        14.492,                        27.266,                        10.199,
6/17/2015 8:00:00 AM ,      23.000,                        14.525,                        27.362,                        10.222,
6/17/2015 9:00:00 AM ,      24.000,                        14.511,                        27.459,                        10.213,
6/17/2015 10:00:00 AM,      25.000,                        14.513,                        27.266,                        10.214,
6/17/2015 11:00:00 AM,      26.000,                        14.520,                        26.637,                        10.219,
6/17/2015 12:00:00 PM,      27.000,                        14.514,                        25.958,                        10.215,
6/17/2015 1:00:00 PM ,      28.000,                        14.506,                        25.472,                        10.209,
6/17/2015 2:00:00 PM ,      29.000,                        14.480,                        25.131,                        10.190,
6/17/2015 3:00:00 PM ,      30.000,                        14.483,                        24.789,                        10.193,
6/17/2015 4:00:00 PM ,      31.000,                        14.464,                        24.545,                        10.180,
6/17/2015 5:00:00 PM ,      32.000,                        14.483,                        24.398,                        10.193,
6/17/2015 6:00:00 PM ,      33.000,                        14.476,                        24.301,                        10.187,
6/17/2015 7:00:00 PM ,      34.000,                        14.485,                        24.203,                        10.194,
6/17/2015 8:00:00 PM ,      35.000,                        14.505,                        23.958,                        10.208,
6/17/2015 9:00:00 PM ,      36.000,                        14.524,                        23.762,                        10.222,
6/17/2015 10:00:00 PM,      37.000,                        14.519,                        23.419,                        10.218,
6/17/2015 11:00:00 PM,      38.000,                        14.520,                        23.320,                        10.219,
6/18/2015 12:00:00 AM,      39.000,                        14.513,                        23.615,                        10.214,
6/18/2015 1:00:00 AM ,      40.000,                        14.526,                        24.056,                        10.223,
6/18/2015 2:00:00 AM ,      41.000,                        14.525,                        24.496,                        10.222,
6/18/2015 3:00:00 AM ,      42.000,                        14.538,                        24.936,                        10.231,
6/18/2015 4:00:00 AM ,      43.000,                        14.548,                        25.228,                        10.238,
6/18/2015 5:00:00 AM ,      44.000,                        14.545,                        25.520,                        10.236,
6/18/2015 6:00:00 AM ,      45.000,                        14.533,                        25.763,                        10.228,
6/18/2015 7:00:00 AM ,      46.000,                        14.536,                        25.909,                        10.230,
6/18/2015 8:00:00 AM ,      47.000,                        14.530,                        26.055,                        10.226,
6/18/2015 9:00:00 AM ,      48.000,                        14.534,                        26.152,                        10.228,
6/18/2015 10:00:00 AM,      49.000,                        14.547,                        26.103,                        10.238,
6/18/2015 11:00:00 AM,      50.000,                        14.539,                        26.055,                        10.232,
6/18/2015 12:00:00 PM,      51.000,                        14.530,                        26.103,                        10.226,
6/18/2015 1:00:00 PM ,      52.000,                        14.516,                        26.152,                        10.216,
6/18/2015 2:00:00 PM ,      53.000,                        14.510,                        25.909,                        10.212,
6/18/2015 3:00:00 PM ,      54.000,                        14.498,                        25.472,                        10.203,
6/18/2015 4:00:00 PM ,      55.000,                        14.528,                        25.033,                        10.225,
6/18/2015 5:00:00 PM ,      56.000,                        14.492,                        24.789,                        10.199,
6/18/2015 6:00:00 PM ,      57.000,                        14.507,                        24.594,                        10.210,
6/18/2015 7:00:00 PM ,      58.000,                        14.517,                        24.447,                        10.217,
6/18/2015 8:00:00 PM ,      59.000,                        14.529,                        24.594,                        10.225,
6/18/2015 9:00:00 PM ,      60.000,                        14.560,                        24.838,                        10.247,
6/18/2015 10:00:00 PM,      61.000,                        14.584,                        25.033,                        10.264,
6/18/2015 11:00:00 PM,      62.000,                        14.565,                        25.228,                        10.250,
6/19/2015 12:00:00 AM,      63.000,                        14.549,                        25.520,                        10.239,
6/19/2015 1:00:00 AM ,      64.000,                        14.564,                        25.715,                        10.250,
6/19/2015 2:00:00 AM ,      65.000,                        14.571,                        25.861,                        10.255,
6/19/2015 3:00:00 AM ,      66.000,                        14.562,                        25.958,                        10.248,
6/19/2015 4:00:00 AM ,      67.000,                        14.565,                        26.055,                        10.250,
6/19/2015 5:00:00 AM ,      68.000,                        14.582,                        26.103,                        10.262,
6/19/2015 6:00:00 AM ,      69.000,                        14.569,                        26.103,                        10.253,
6/19/2015 7:00:00 AM ,      70.000,                        14.572,                        26.152,                        10.256,
6/19/2015 8:00:00 AM ,      71.000,                        14.581,                        26.152,                        10.262,
6/19/2015 9:00:00 AM ,      72.000,                        14.594,                        26.201,                        10.271,
6/19/2015 10:00:00 AM,      73.000,                        14.566,                        25.909,                        10.251,
6/19/2015 11:00:00 AM,      74.000,                        14.564,                        25.277,                        10.250,
6/19/2015 12:00:00 PM,      75.000,                        14.559,                        24.594,                        10.246,
6/19/2015 1:00:00 PM ,      76.000,                        14.573,                        24.105,                        10.256,
6/19/2015 2:00:00 PM ,      77.000,                        14.570,                        23.909,                        10.254,
6/19/2015 3:00:00 PM ,      78.000,                        14.546,                        23.762,                        10.237,
6/19/2015 4:00:00 PM ,      79.000,                        14.521,                        23.664,                        10.220,
6/19/2015 5:00:00 PM ,      80.000,                        14.556,                        23.664,                        10.244,
6/19/2015 6:00:00 PM ,      81.000,                        14.525,                        23.713,                        10.222,
6/19/2015 7:00:00 PM ,      82.000,                        14.542,                        23.713,                        10.234,
6/19/2015 8:00:00 PM ,      83.000,                        14.540,                        23.909,                        10.233,
6/19/2015 9:00:00 PM ,      84.000,                        14.543,                        24.447,                        10.235,
6/19/2015 10:00:00 PM,      85.000,                        14.556,                        24.887,                        10.244,
6/19/2015 11:00:00 PM,      86.000,                        14.560,                        25.326,                        10.247,
