Report Date:,10/7/2015 3:44:40 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-1_10m_monitoring_2015-10-07_15-44-31-665.wsl
Create Date,10/7/2015 3:43:09 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,318908
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,23

Log Configuration
,Log Name,SB-1_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Pressure Offset:,14.4912 (PSI)
,Depth of Probe:,-0.0914457 (m)
,Head Pressure:,-0.129936 (PSI)
,Temperature:,25.3741 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:42:27 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,318908,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 318908                   ,SN#: 318908                   ,SN#: 318908                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        -0.071,                        27.512,                        -0.050,
6/16/2015 10:00:00 AM,       1.000,                        -0.170,                        26.833,                        -0.120,
6/16/2015 11:00:00 AM,       2.000,                        -0.084,                        26.397,                        -0.059,
6/16/2015 12:00:00 PM,       3.000,                        -0.183,                        26.153,                        -0.129,
6/16/2015 1:00:00 PM ,       4.000,                        -0.052,                        26.008,                        -0.036,
6/16/2015 2:00:00 PM ,       5.000,                        -0.195,                        25.862,                        -0.137,
6/16/2015 3:00:00 PM ,       6.000,                        -0.198,                        25.813,                        -0.140,
6/16/2015 4:00:00 PM ,       7.000,                        -0.125,                        25.179,                        -0.088,
6/16/2015 5:00:00 PM ,       8.000,                        -0.129,                        24.788,                        -0.091,
6/16/2015 6:00:00 PM ,       9.000,                        -0.148,                        24.445,                        -0.104,
6/16/2015 7:00:00 PM ,      10.000,                        -0.139,                        24.201,                        -0.098,
6/16/2015 8:00:00 PM ,      11.000,                        -0.120,                        23.612,                        -0.084,
6/16/2015 9:00:00 PM ,      12.000,                        -0.104,                        24.299,                        -0.073,
6/16/2015 10:00:00 PM,      13.000,                        -0.099,                        25.179,                        -0.070,
6/16/2015 11:00:00 PM,      14.000,                        -0.145,                        25.910,                        -0.102,
6/17/2015 12:00:00 AM,      15.000,                        -0.041,                        26.445,                        -0.029,
6/17/2015 1:00:00 AM ,      16.000,                        -0.061,                        26.736,                        -0.043,
6/17/2015 2:00:00 AM ,      17.000,                        -0.171,                        26.979,                        -0.121,
6/17/2015 3:00:00 AM ,      18.000,                        -0.166,                        27.221,                        -0.117,
6/17/2015 4:00:00 AM ,      19.000,                        -0.152,                        27.318,                        -0.107,
6/17/2015 5:00:00 AM ,      20.000,                        -0.103,                        27.415,                        -0.072,
6/17/2015 6:00:00 AM ,      21.000,                        -0.114,                        27.463,                        -0.080,
6/17/2015 7:00:00 AM ,      22.000,                        -0.125,                        27.512,                        -0.088,
6/17/2015 8:00:00 AM ,      23.000,                        -0.144,                        27.657,                        -0.102,
6/17/2015 9:00:00 AM ,      24.000,                        -0.125,                        27.560,                        -0.088,
6/17/2015 10:00:00 AM,      25.000,                        -0.066,                        26.397,                        -0.046,
6/17/2015 11:00:00 AM,      26.000,                        -0.101,                        25.325,                        -0.071,
6/17/2015 12:00:00 PM,      27.000,                        -0.103,                        24.641,                        -0.072,
6/17/2015 1:00:00 PM ,      28.000,                        -0.141,                        24.445,                        -0.099,
6/17/2015 2:00:00 PM ,      29.000,                        -0.135,                        24.201,                        -0.095,
6/17/2015 3:00:00 PM ,      30.000,                        -0.152,                        24.004,                        -0.107,
6/17/2015 4:00:00 PM ,      31.000,                        -0.155,                        23.906,                        -0.109,
6/17/2015 5:00:00 PM ,      32.000,                        -0.154,                        23.857,                        -0.109,
6/17/2015 6:00:00 PM ,      33.000,                        -0.139,                        23.808,                        -0.098,
6/17/2015 7:00:00 PM ,      34.000,                        -0.135,                        23.710,                        -0.095,
6/17/2015 8:00:00 PM ,      35.000,                        -0.135,                        23.267,                        -0.095,
6/17/2015 9:00:00 PM ,      36.000,                        -0.100,                        22.874,                        -0.070,
6/17/2015 10:00:00 PM,      37.000,                        -0.098,                        22.676,                        -0.069,
6/17/2015 11:00:00 PM,      38.000,                        -0.092,                        23.267,                        -0.065,
6/18/2015 12:00:00 AM,      39.000,                        -0.078,                        24.299,                        -0.055,
6/18/2015 1:00:00 AM ,      40.000,                        -0.134,                        24.984,                        -0.094,
6/18/2015 2:00:00 AM ,      41.000,                        -0.101,                        25.423,                        -0.071,
6/18/2015 3:00:00 AM ,      42.000,                        -0.086,                        25.764,                        -0.061,
6/18/2015 4:00:00 AM ,      43.000,                        -0.099,                        26.008,                        -0.069,
6/18/2015 5:00:00 AM ,      44.000,                        -0.039,                        26.202,                        -0.027,
6/18/2015 6:00:00 AM ,      45.000,                        -0.022,                        26.299,                        -0.015,
6/18/2015 7:00:00 AM ,      46.000,                        -0.030,                        26.397,                        -0.021,
6/18/2015 8:00:00 AM ,      47.000,                        -0.142,                        26.494,                        -0.100,
6/18/2015 9:00:00 AM ,      48.000,                         0.004,                        26.299,                         0.003,
6/18/2015 10:00:00 AM,      49.000,                        -0.024,                        26.105,                        -0.017,
6/18/2015 11:00:00 AM,      50.000,                        -0.172,                        26.153,                        -0.121,
6/18/2015 12:00:00 PM,      51.000,                        -0.093,                        26.251,                        -0.066,
6/18/2015 1:00:00 PM ,      52.000,                        -0.065,                        26.251,                        -0.045,
6/18/2015 2:00:00 PM ,      53.000,                        -0.118,                        25.179,                        -0.083,
6/18/2015 3:00:00 PM ,      54.000,                        -0.113,                        24.592,                        -0.080,
6/18/2015 4:00:00 PM ,      55.000,                        -0.144,                        24.348,                        -0.101,
6/18/2015 5:00:00 PM ,      56.000,                        -0.104,                        24.299,                        -0.073,
6/18/2015 6:00:00 PM ,      57.000,                        -0.135,                        24.102,                        -0.095,
6/18/2015 7:00:00 PM ,      58.000,                        -0.097,                        24.445,                        -0.069,
6/18/2015 8:00:00 PM ,      59.000,                        -0.090,                        24.935,                        -0.064,
