Report Date:,10/7/2015 3:16:37 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-2_10m_monitoring_2015-10-07_15-16-23-086.wsl
Create Date,10/7/2015 3:16:17 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361566
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-2_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1219 (m)
,Head Pressure:,14.3823 (PSI)
,Temperature:,24.8118 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:15:32 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361566,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361566                   ,SN#: 361566                   ,SN#: 361566                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.411,                        27.285,                        10.142,
6/16/2015 10:00:00 AM,       1.000,                        14.401,                        27.043,                        10.135,
6/16/2015 11:00:00 AM,       2.000,                        14.419,                        26.657,                        10.148,
6/16/2015 12:00:00 PM,       3.000,                        14.400,                        26.318,                        10.134,
6/16/2015 1:00:00 PM ,       4.000,                        14.377,                        26.027,                        10.118,
6/16/2015 2:00:00 PM ,       5.000,                        14.399,                        25.882,                        10.133,
6/16/2015 3:00:00 PM ,       6.000,                        14.383,                        25.833,                        10.122,
6/16/2015 4:00:00 PM ,       7.000,                        14.392,                        25.639,                        10.129,
6/16/2015 5:00:00 PM ,       8.000,                        14.374,                        25.396,                        10.116,
6/16/2015 6:00:00 PM ,       9.000,                        14.371,                        25.201,                        10.114,
6/16/2015 7:00:00 PM ,      10.000,                        14.396,                        24.958,                        10.131,
6/16/2015 8:00:00 PM ,      11.000,                        14.407,                        24.617,                        10.140,
6/16/2015 9:00:00 PM ,      12.000,                        14.398,                        24.470,                        10.133,
6/16/2015 10:00:00 PM,      13.000,                        14.409,                        24.763,                        10.141,
6/16/2015 11:00:00 PM,      14.000,                        14.407,                        25.250,                        10.139,
6/17/2015 12:00:00 AM,      15.000,                        14.398,                        25.785,                        10.133,
6/17/2015 1:00:00 AM ,      16.000,                        14.410,                        26.221,                        10.142,
6/17/2015 2:00:00 AM ,      17.000,                        14.414,                        26.512,                        10.144,
6/17/2015 3:00:00 AM ,      18.000,                        14.398,                        26.802,                        10.133,
6/17/2015 4:00:00 AM ,      19.000,                        14.399,                        26.947,                        10.134,
6/17/2015 5:00:00 AM ,      20.000,                        14.402,                        27.140,                        10.135,
6/17/2015 6:00:00 AM ,      21.000,                        14.418,                        27.236,                        10.147,
6/17/2015 7:00:00 AM ,      22.000,                        14.400,                        27.333,                        10.134,
6/17/2015 8:00:00 AM ,      23.000,                        14.413,                        27.429,                        10.143,
6/17/2015 9:00:00 AM ,      24.000,                        14.413,                        27.477,                        10.144,
6/17/2015 10:00:00 AM,      25.000,                        14.411,                        27.236,                        10.142,
6/17/2015 11:00:00 AM,      26.000,                        14.403,                        26.560,                        10.136,
6/17/2015 12:00:00 PM,      27.000,                        14.407,                        25.930,                        10.139,
6/17/2015 1:00:00 PM ,      28.000,                        14.374,                        25.445,                        10.116,
6/17/2015 2:00:00 PM ,      29.000,                        14.374,                        25.104,                        10.116,
6/17/2015 3:00:00 PM ,      30.000,                        14.367,                        24.812,                        10.111,
6/17/2015 4:00:00 PM ,      31.000,                        14.357,                        24.617,                        10.104,
6/17/2015 5:00:00 PM ,      32.000,                        14.374,                        24.470,                        10.116,
6/17/2015 6:00:00 PM ,      33.000,                        14.366,                        24.373,                        10.110,
6/17/2015 7:00:00 PM ,      34.000,                        14.392,                        24.275,                        10.128,
6/17/2015 8:00:00 PM ,      35.000,                        14.385,                        24.031,                        10.124,
6/17/2015 9:00:00 PM ,      36.000,                        14.386,                        23.786,                        10.124,
6/17/2015 10:00:00 PM,      37.000,                        14.413,                        23.443,                        10.144,
6/17/2015 11:00:00 PM,      38.000,                        14.428,                        23.345,                        10.154,
6/18/2015 12:00:00 AM,      39.000,                        14.402,                        23.786,                        10.135,
6/18/2015 1:00:00 AM ,      40.000,                        14.399,                        24.275,                        10.134,
6/18/2015 2:00:00 AM ,      41.000,                        14.401,                        24.763,                        10.135,
6/18/2015 3:00:00 AM ,      42.000,                        14.399,                        25.201,                        10.133,
6/18/2015 4:00:00 AM ,      43.000,                        14.402,                        25.493,                        10.136,
6/18/2015 5:00:00 AM ,      44.000,                        14.424,                        25.736,                        10.151,
6/18/2015 6:00:00 AM ,      45.000,                        14.423,                        25.930,                        10.150,
6/18/2015 7:00:00 AM ,      46.000,                        14.432,                        26.076,                        10.157,
6/18/2015 8:00:00 AM ,      47.000,                        14.438,                        26.221,                        10.161,
6/18/2015 9:00:00 AM ,      48.000,                        14.442,                        26.269,                        10.164,
6/18/2015 10:00:00 AM,      49.000,                        14.429,                        26.173,                        10.155,
6/18/2015 11:00:00 AM,      50.000,                        14.402,                        26.173,                        10.136,
6/18/2015 12:00:00 PM,      51.000,                        14.414,                        26.173,                        10.144,
6/18/2015 1:00:00 PM ,      52.000,                        14.395,                        26.269,                        10.131,
6/18/2015 2:00:00 PM ,      53.000,                        14.396,                        26.027,                        10.132,
6/18/2015 3:00:00 PM ,      54.000,                        14.406,                        25.493,                        10.138,
6/18/2015 4:00:00 PM ,      55.000,                        14.382,                        25.104,                        10.122,
6/18/2015 5:00:00 PM ,      56.000,                        14.383,                        24.861,                        10.122,
6/18/2015 6:00:00 PM ,      57.000,                        14.369,                        24.666,                        10.112,
6/18/2015 7:00:00 PM ,      58.000,                        14.415,                        24.568,                        10.145,
6/18/2015 8:00:00 PM ,      59.000,                        14.401,                        24.763,                        10.135,
6/18/2015 9:00:00 PM ,      60.000,                        14.427,                        25.007,                        10.154,
6/18/2015 10:00:00 PM,      61.000,                        14.438,                        25.250,                        10.161,
6/18/2015 11:00:00 PM,      62.000,                        14.449,                        25.493,                        10.169,
6/19/2015 12:00:00 AM,      63.000,                        14.455,                        25.736,                        10.173,
6/19/2015 1:00:00 AM ,      64.000,                        14.422,                        25.882,                        10.150,
6/19/2015 2:00:00 AM ,      65.000,                        14.456,                        26.076,                        10.173,
6/19/2015 3:00:00 AM ,      66.000,                        14.483,                        26.076,                        10.193,
6/19/2015 4:00:00 AM ,      67.000,                        14.445,                        26.173,                        10.166,
6/19/2015 5:00:00 AM ,      68.000,                        14.457,                        26.173,                        10.174,
6/19/2015 6:00:00 AM ,      69.000,                        14.465,                        26.221,                        10.180,
6/19/2015 7:00:00 AM ,      70.000,                        14.469,                        26.221,                        10.183,
6/19/2015 8:00:00 AM ,      71.000,                        14.485,                        26.221,                        10.194,
6/19/2015 9:00:00 AM ,      72.000,                        14.477,                        26.221,                        10.188,
6/19/2015 10:00:00 AM,      73.000,                        14.461,                        25.882,                        10.177,
6/19/2015 11:00:00 AM,      74.000,                        14.457,                        25.201,                        10.174,
6/19/2015 12:00:00 PM,      75.000,                        14.445,                        24.519,                        10.166,
6/19/2015 1:00:00 PM ,      76.000,                        14.440,                        24.031,                        10.162,
6/19/2015 2:00:00 PM ,      77.000,                        14.448,                        23.786,                        10.168,
6/19/2015 3:00:00 PM ,      78.000,                        14.440,                        23.737,                        10.162,
6/19/2015 4:00:00 PM ,      79.000,                        14.424,                        23.688,                        10.151,
6/19/2015 5:00:00 PM ,      80.000,                        14.421,                        23.737,                        10.149,
6/19/2015 6:00:00 PM ,      81.000,                        14.417,                        23.786,                        10.146,
6/19/2015 7:00:00 PM ,      82.000,                        14.437,                        23.786,                        10.160,
6/19/2015 8:00:00 PM ,      83.000,                        14.429,                        24.128,                        10.155,
6/19/2015 9:00:00 PM ,      84.000,                        14.446,                        24.617,                        10.167,
6/19/2015 10:00:00 PM,      85.000,                        14.453,                        25.153,                        10.171,
6/19/2015 11:00:00 PM,      86.000,                        14.449,                        25.542,                        10.169,
