Report Date:,10/7/2015 3:13:19 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-2_20m_monitoring_2015-10-07_15-13-08-177.wsl
Create Date,10/7/2015 3:13:02 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361565
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-2_20m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1846 (m)
,Head Pressure:,14.4715 (PSI)
,Temperature:,24.9998 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:12:14 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361565,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361565                   ,SN#: 361565                   ,SN#: 361565                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.498,                        27.323,                        10.203,
6/16/2015 10:00:00 AM,       1.000,                        14.492,                        27.082,                        10.199,
6/16/2015 11:00:00 AM,       2.000,                        14.489,                        26.696,                        10.197,
6/16/2015 12:00:00 PM,       3.000,                        14.473,                        26.358,                        10.186,
6/16/2015 1:00:00 PM ,       4.000,                        14.475,                        26.067,                        10.187,
6/16/2015 2:00:00 PM ,       5.000,                        14.478,                        25.922,                        10.190,
6/16/2015 3:00:00 PM ,       6.000,                        14.478,                        25.825,                        10.189,
6/16/2015 4:00:00 PM ,       7.000,                        14.455,                        25.680,                        10.173,
6/16/2015 5:00:00 PM ,       8.000,                        14.467,                        25.486,                        10.181,
6/16/2015 6:00:00 PM ,       9.000,                        14.464,                        25.194,                        10.180,
6/16/2015 7:00:00 PM ,      10.000,                        14.476,                        25.000,                        10.188,
6/16/2015 8:00:00 PM ,      11.000,                        14.486,                        24.659,                        10.195,
6/16/2015 9:00:00 PM ,      12.000,                        14.481,                        24.562,                        10.191,
6/16/2015 10:00:00 PM,      13.000,                        14.508,                        24.805,                        10.211,
6/16/2015 11:00:00 PM,      14.000,                        14.512,                        25.291,                        10.213,
6/17/2015 12:00:00 AM,      15.000,                        14.482,                        25.777,                        10.192,
6/17/2015 1:00:00 AM ,      16.000,                        14.506,                        26.213,                        10.209,
6/17/2015 2:00:00 AM ,      17.000,                        14.496,                        26.551,                        10.202,
6/17/2015 3:00:00 AM ,      18.000,                        14.485,                        26.793,                        10.194,
6/17/2015 4:00:00 AM ,      19.000,                        14.495,                        26.986,                        10.201,
6/17/2015 5:00:00 AM ,      20.000,                        14.505,                        27.130,                        10.208,
6/17/2015 6:00:00 AM ,      21.000,                        14.493,                        27.275,                        10.200,
6/17/2015 7:00:00 AM ,      22.000,                        14.519,                        27.371,                        10.218,
6/17/2015 8:00:00 AM ,      23.000,                        14.507,                        27.467,                        10.210,
6/17/2015 9:00:00 AM ,      24.000,                        14.503,                        27.516,                        10.207,
6/17/2015 10:00:00 AM,      25.000,                        14.493,                        27.227,                        10.200,
6/17/2015 11:00:00 AM,      26.000,                        14.496,                        26.599,                        10.202,
6/17/2015 12:00:00 PM,      27.000,                        14.500,                        25.970,                        10.205,
6/17/2015 1:00:00 PM ,      28.000,                        14.454,                        25.534,                        10.172,
6/17/2015 2:00:00 PM ,      29.000,                        14.456,                        25.146,                        10.173,
6/17/2015 3:00:00 PM ,      30.000,                        14.470,                        24.854,                        10.184,
6/17/2015 4:00:00 PM ,      31.000,                        14.465,                        24.659,                        10.180,
6/17/2015 5:00:00 PM ,      32.000,                        14.446,                        24.513,                        10.167,
6/17/2015 6:00:00 PM ,      33.000,                        14.446,                        24.464,                        10.167,
6/17/2015 7:00:00 PM ,      34.000,                        14.457,                        24.269,                        10.175,
6/17/2015 8:00:00 PM ,      35.000,                        14.470,                        24.172,                        10.183,
6/17/2015 9:00:00 PM ,      36.000,                        14.472,                        23.928,                        10.185,
6/17/2015 10:00:00 PM,      37.000,                        14.482,                        23.536,                        10.192,
6/17/2015 11:00:00 PM,      38.000,                        14.507,                        23.439,                        10.209,
6/18/2015 12:00:00 AM,      39.000,                        14.476,                        23.879,                        10.188,
6/18/2015 1:00:00 AM ,      40.000,                        14.492,                        24.318,                        10.199,
6/18/2015 2:00:00 AM ,      41.000,                        14.512,                        24.708,                        10.213,
6/18/2015 3:00:00 AM ,      42.000,                        14.485,                        25.146,                        10.194,
6/18/2015 4:00:00 AM ,      43.000,                        14.513,                        25.486,                        10.214,
6/18/2015 5:00:00 AM ,      44.000,                        14.516,                        25.777,                        10.216,
6/18/2015 6:00:00 AM ,      45.000,                        14.504,                        25.922,                        10.208,
6/18/2015 7:00:00 AM ,      46.000,                        14.501,                        26.067,                        10.205,
6/18/2015 8:00:00 AM ,      47.000,                        14.532,                        26.213,                        10.227,
6/18/2015 9:00:00 AM ,      48.000,                        14.532,                        26.261,                        10.227,
6/18/2015 10:00:00 AM,      49.000,                        14.510,                        26.164,                        10.212,
6/18/2015 11:00:00 AM,      50.000,                        14.502,                        26.164,                        10.206,
6/18/2015 12:00:00 PM,      51.000,                        14.515,                        26.213,                        10.215,
6/18/2015 1:00:00 PM ,      52.000,                        14.494,                        26.261,                        10.200,
6/18/2015 2:00:00 PM ,      53.000,                        14.496,                        25.970,                        10.202,
6/18/2015 3:00:00 PM ,      54.000,                        14.471,                        25.534,                        10.184,
6/18/2015 4:00:00 PM ,      55.000,                        14.498,                        25.097,                        10.203,
6/18/2015 5:00:00 PM ,      56.000,                        14.449,                        24.903,                        10.169,
6/18/2015 6:00:00 PM ,      57.000,                        14.460,                        24.659,                        10.177,
6/18/2015 7:00:00 PM ,      58.000,                        14.486,                        24.610,                        10.195,
6/18/2015 8:00:00 PM ,      59.000,                        14.504,                        24.757,                        10.207,
6/18/2015 9:00:00 PM ,      60.000,                        14.523,                        25.048,                        10.221,
6/18/2015 10:00:00 PM,      61.000,                        14.537,                        25.243,                        10.231,
6/18/2015 11:00:00 PM,      62.000,                        14.509,                        25.486,                        10.211,
6/19/2015 12:00:00 AM,      63.000,                        14.511,                        25.728,                        10.213,
6/19/2015 1:00:00 AM ,      64.000,                        14.530,                        25.922,                        10.226,
6/19/2015 2:00:00 AM ,      65.000,                        14.530,                        26.019,                        10.226,
6/19/2015 3:00:00 AM ,      66.000,                        14.552,                        26.067,                        10.241,
6/19/2015 4:00:00 AM ,      67.000,                        14.502,                        26.164,                        10.206,
6/19/2015 5:00:00 AM ,      68.000,                        14.532,                        26.213,                        10.227,
6/19/2015 6:00:00 AM ,      69.000,                        14.557,                        26.213,                        10.245,
6/19/2015 7:00:00 AM ,      70.000,                        14.562,                        26.213,                        10.248,
6/19/2015 8:00:00 AM ,      71.000,                        14.566,                        26.261,                        10.251,
6/19/2015 9:00:00 AM ,      72.000,                        14.562,                        26.261,                        10.248,
6/19/2015 10:00:00 AM,      73.000,                        14.555,                        25.874,                        10.243,
6/19/2015 11:00:00 AM,      74.000,                        14.541,                        25.194,                        10.234,
6/19/2015 12:00:00 PM,      75.000,                        14.549,                        24.610,                        10.240,
6/19/2015 1:00:00 PM ,      76.000,                        14.528,                        23.976,                        10.224,
6/19/2015 2:00:00 PM ,      77.000,                        14.558,                        23.976,                        10.245,
6/19/2015 3:00:00 PM ,      78.000,                        14.538,                        23.683,                        10.232,
6/19/2015 4:00:00 PM ,      79.000,                        14.522,                        23.732,                        10.220,
6/19/2015 5:00:00 PM ,      80.000,                        14.500,                        23.683,                        10.205,
6/19/2015 6:00:00 PM ,      81.000,                        14.487,                        23.683,                        10.196,
6/19/2015 7:00:00 PM ,      82.000,                        14.522,                        23.732,                        10.220,
6/19/2015 8:00:00 PM ,      83.000,                        14.525,                        24.123,                        10.222,
6/19/2015 9:00:00 PM ,      84.000,                        14.524,                        24.659,                        10.222,
6/19/2015 10:00:00 PM,      85.000,                        14.557,                        25.097,                        10.245,
6/19/2015 11:00:00 PM,      86.000,                        14.536,                        25.583,                        10.230,
