Report Date:,10/7/2015 4:42:33 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,IB-1_30m_monitoring_2015-10-07_16-42-17-036.wsl
Create Date,10/7/2015 4:42:13 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361480
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,IB-1_30m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.2288 (m)
,Head Pressure:,14.5342 (PSI)
,Temperature:,24.7794 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:41:23 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361480,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361480                   ,SN#: 361480                   ,SN#: 361480                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.570,                        27.120,                        10.254,
6/16/2015 10:00:00 AM,       1.000,                        14.549,                        26.974,                        10.239,
6/16/2015 11:00:00 AM,       2.000,                        14.546,                        26.488,                        10.237,
6/16/2015 12:00:00 PM,       3.000,                        14.538,                        26.342,                        10.231,
6/16/2015 1:00:00 PM ,       4.000,                        14.530,                        26.050,                        10.226,
6/16/2015 2:00:00 PM ,       5.000,                        14.527,                        25.904,                        10.224,
6/16/2015 3:00:00 PM ,       6.000,                        14.508,                        25.855,                        10.210,
6/16/2015 4:00:00 PM ,       7.000,                        14.521,                        25.660,                        10.219,
6/16/2015 5:00:00 PM ,       8.000,                        14.514,                        25.367,                        10.214,
6/16/2015 6:00:00 PM ,       9.000,                        14.524,                        25.073,                        10.222,
6/16/2015 7:00:00 PM ,      10.000,                        14.532,                        24.877,                        10.227,
6/16/2015 8:00:00 PM ,      11.000,                        14.544,                        24.485,                        10.236,
6/16/2015 9:00:00 PM ,      12.000,                        14.542,                        24.387,                        10.234,
6/16/2015 10:00:00 PM,      13.000,                        14.536,                        24.681,                        10.230,
6/16/2015 11:00:00 PM,      14.000,                        14.548,                        25.171,                        10.239,
6/17/2015 12:00:00 AM,      15.000,                        14.547,                        25.660,                        10.238,
6/17/2015 1:00:00 AM ,      16.000,                        14.561,                        26.050,                        10.248,
6/17/2015 2:00:00 AM ,      17.000,                        14.581,                        26.342,                        10.262,
6/17/2015 3:00:00 AM ,      18.000,                        14.565,                        26.586,                        10.251,
6/17/2015 4:00:00 AM ,      19.000,                        14.556,                        26.926,                        10.244,
6/17/2015 5:00:00 AM ,      20.000,                        14.546,                        26.877,                        10.237,
6/17/2015 6:00:00 AM ,      21.000,                        14.572,                        27.023,                        10.255,
6/17/2015 7:00:00 AM ,      22.000,                        14.558,                        27.169,                        10.245,
6/17/2015 8:00:00 AM ,      23.000,                        14.559,                        27.411,                        10.247,
6/17/2015 9:00:00 AM ,      24.000,                        14.565,                        27.460,                        10.250,
6/17/2015 10:00:00 AM,      25.000,                        14.570,                        27.120,                        10.254,
6/17/2015 11:00:00 AM,      26.000,                        14.549,                        26.294,                        10.240,
6/17/2015 12:00:00 PM,      27.000,                        14.524,                        25.806,                        10.222,
6/17/2015 1:00:00 PM ,      28.000,                        14.528,                        25.416,                        10.224,
6/17/2015 2:00:00 PM ,      29.000,                        14.531,                        25.024,                        10.227,
6/17/2015 3:00:00 PM ,      30.000,                        14.494,                        24.730,                        10.200,
6/17/2015 4:00:00 PM ,      31.000,                        14.514,                        24.485,                        10.214,
6/17/2015 5:00:00 PM ,      32.000,                        14.523,                        24.338,                        10.221,
6/17/2015 6:00:00 PM ,      33.000,                        14.527,                        24.289,                        10.223,
6/17/2015 7:00:00 PM ,      34.000,                        14.519,                        24.142,                        10.218,
6/17/2015 8:00:00 PM ,      35.000,                        14.513,                        23.896,                        10.214,
6/17/2015 9:00:00 PM ,      36.000,                        14.546,                        23.650,                        10.237,
6/17/2015 10:00:00 PM,      37.000,                        14.547,                        23.354,                        10.238,
6/17/2015 11:00:00 PM,      38.000,                        14.559,                        23.305,                        10.246,
6/18/2015 12:00:00 AM,      39.000,                        14.540,                        23.748,                        10.233,
6/18/2015 1:00:00 AM ,      40.000,                        14.537,                        24.191,                        10.231,
6/18/2015 2:00:00 AM ,      41.000,                        14.557,                        24.632,                        10.245,
6/18/2015 3:00:00 AM ,      42.000,                        14.573,                        24.926,                        10.256,
6/18/2015 4:00:00 AM ,      43.000,                        14.568,                        25.269,                        10.253,
6/18/2015 5:00:00 AM ,      44.000,                        14.568,                        25.611,                        10.252,
6/18/2015 6:00:00 AM ,      45.000,                        14.564,                        25.806,                        10.250,
6/18/2015 7:00:00 AM ,      46.000,                        14.585,                        25.953,                        10.264,
6/18/2015 8:00:00 AM ,      47.000,                        14.577,                        26.147,                        10.259,
6/18/2015 9:00:00 AM ,      48.000,                        14.591,                        26.196,                        10.269,
6/18/2015 10:00:00 AM,      49.000,                        14.583,                        26.050,                        10.263,
6/18/2015 11:00:00 AM,      50.000,                        14.569,                        26.001,                        10.253,
6/18/2015 12:00:00 PM,      51.000,                        14.547,                        26.196,                        10.238,
6/18/2015 1:00:00 PM ,      52.000,                        14.540,                        26.099,                        10.233,
6/18/2015 2:00:00 PM ,      53.000,                        14.544,                        25.709,                        10.236,
6/18/2015 3:00:00 PM ,      54.000,                        14.543,                        25.318,                        10.235,
6/18/2015 4:00:00 PM ,      55.000,                        14.538,                        24.926,                        10.231,
6/18/2015 5:00:00 PM ,      56.000,                        14.537,                        24.730,                        10.231,
6/18/2015 6:00:00 PM ,      57.000,                        14.543,                        24.583,                        10.235,
6/18/2015 7:00:00 PM ,      58.000,                        14.548,                        24.436,                        10.238,
6/18/2015 8:00:00 PM ,      59.000,                        14.549,                        24.681,                        10.239,
6/18/2015 9:00:00 PM ,      60.000,                        14.566,                        24.828,                        10.251,
6/18/2015 10:00:00 PM,      61.000,                        14.573,                        25.122,                        10.256,
6/18/2015 11:00:00 PM,      62.000,                        14.605,                        25.367,                        10.279,
6/19/2015 12:00:00 AM,      63.000,                        14.585,                        25.611,                        10.265,
6/19/2015 1:00:00 AM ,      64.000,                        14.593,                        25.757,                        10.270,
6/19/2015 2:00:00 AM ,      65.000,                        14.611,                        25.953,                        10.283,
6/19/2015 3:00:00 AM ,      66.000,                        14.599,                        26.001,                        10.275,
6/19/2015 4:00:00 AM ,      67.000,                        14.603,                        26.147,                        10.277,
6/19/2015 5:00:00 AM ,      68.000,                        14.593,                        26.099,                        10.270,
6/19/2015 6:00:00 AM ,      69.000,                        14.607,                        26.147,                        10.280,
6/19/2015 7:00:00 AM ,      70.000,                        14.595,                        26.196,                        10.272,
6/19/2015 8:00:00 AM ,      71.000,                        14.618,                        26.245,                        10.288,
6/19/2015 9:00:00 AM ,      72.000,                        14.619,                        26.099,                        10.289,
6/19/2015 10:00:00 AM,      73.000,                        14.584,                        25.757,                        10.264,
6/19/2015 11:00:00 AM,      74.000,                        14.611,                        25.073,                        10.283,
6/19/2015 12:00:00 PM,      75.000,                        14.587,                        24.436,                        10.266,
6/19/2015 1:00:00 PM ,      76.000,                        14.576,                        23.994,                        10.258,
6/19/2015 2:00:00 PM ,      77.000,                        14.581,                        23.847,                        10.262,
6/19/2015 3:00:00 PM ,      78.000,                        14.577,                        23.650,                        10.259,
6/19/2015 4:00:00 PM ,      79.000,                        14.550,                        23.650,                        10.240,
6/19/2015 5:00:00 PM ,      80.000,                        14.568,                        23.650,                        10.252,
6/19/2015 6:00:00 PM ,      81.000,                        14.566,                        23.748,                        10.251,
6/19/2015 7:00:00 PM ,      82.000,                        14.573,                        23.699,                        10.256,
6/19/2015 8:00:00 PM ,      83.000,                        14.586,                        24.043,                        10.265,
6/19/2015 9:00:00 PM ,      84.000,                        14.604,                        24.583,                        10.278,
6/19/2015 10:00:00 PM,      85.000,                        14.595,                        24.926,                        10.271,
6/19/2015 11:00:00 PM,      86.000,                        14.607,                        25.416,                        10.280,
