Report Date:,10/7/2015 4:06:16 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-1_10m_monitoring_2015-10-07_16-06-05-338.wsl
Create Date,10/7/2015 4:05:36 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361645
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-1_10m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1254 (m)
,Head Pressure:,14.3873 (PSI)
,Temperature:,24.9631 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:04:40 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361645,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361645                   ,SN#: 361645                   ,SN#: 361645                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.411,                        27.518,                        10.142,
6/16/2015 10:00:00 AM,       1.000,                        14.429,                        26.702,                        10.155,
6/16/2015 11:00:00 AM,       2.000,                        14.418,                        26.268,                        10.147,
6/16/2015 12:00:00 PM,       3.000,                        14.421,                        26.027,                        10.149,
6/16/2015 1:00:00 PM ,       4.000,                        14.382,                        25.882,                        10.122,
6/16/2015 2:00:00 PM ,       5.000,                        14.376,                        25.834,                        10.117,
6/16/2015 3:00:00 PM ,       6.000,                        14.383,                        25.786,                        10.123,
6/16/2015 4:00:00 PM ,       7.000,                        14.379,                        25.351,                        10.119,
6/16/2015 5:00:00 PM ,       8.000,                        14.383,                        25.012,                        10.123,
6/16/2015 6:00:00 PM ,       9.000,                        14.376,                        24.818,                        10.117,
6/16/2015 7:00:00 PM ,      10.000,                        14.379,                        24.526,                        10.120,
6/16/2015 8:00:00 PM ,      11.000,                        14.411,                        23.943,                        10.142,
6/16/2015 9:00:00 PM ,      12.000,                        14.412,                        24.672,                        10.142,
6/16/2015 10:00:00 PM,      13.000,                        14.393,                        25.592,                        10.129,
6/16/2015 11:00:00 PM,      14.000,                        14.415,                        26.220,                        10.145,
6/17/2015 12:00:00 AM,      15.000,                        14.395,                        26.702,                        10.131,
6/17/2015 1:00:00 AM ,      16.000,                        14.429,                        26.990,                        10.154,
6/17/2015 2:00:00 AM ,      17.000,                        14.400,                        27.135,                        10.134,
6/17/2015 3:00:00 AM ,      18.000,                        14.408,                        27.231,                        10.140,
6/17/2015 4:00:00 AM ,      19.000,                        14.407,                        27.375,                        10.139,
6/17/2015 5:00:00 AM ,      20.000,                        14.395,                        27.471,                        10.131,
6/17/2015 6:00:00 AM ,      21.000,                        14.402,                        27.471,                        10.136,
6/17/2015 7:00:00 AM ,      22.000,                        14.407,                        27.566,                        10.140,
6/17/2015 8:00:00 AM ,      23.000,                        14.406,                        27.710,                        10.138,
6/17/2015 9:00:00 AM ,      24.000,                        14.408,                        27.518,                        10.140,
6/17/2015 10:00:00 AM,      25.000,                        14.423,                        26.413,                        10.150,
6/17/2015 11:00:00 AM,      26.000,                        14.414,                        25.496,                        10.144,
6/17/2015 12:00:00 PM,      27.000,                        14.395,                        24.915,                        10.131,
6/17/2015 1:00:00 PM ,      28.000,                        14.396,                        24.818,                        10.132,
6/17/2015 2:00:00 PM ,      29.000,                        14.386,                        24.575,                        10.124,
6/17/2015 3:00:00 PM ,      30.000,                        14.374,                        24.429,                        10.116,
6/17/2015 4:00:00 PM ,      31.000,                        14.371,                        24.381,                        10.114,
6/17/2015 5:00:00 PM ,      32.000,                        14.402,                        24.332,                        10.136,
6/17/2015 6:00:00 PM ,      33.000,                        14.369,                        24.284,                        10.113,
6/17/2015 7:00:00 PM ,      34.000,                        14.382,                        24.089,                        10.122,
6/17/2015 8:00:00 PM ,      35.000,                        14.374,                        23.651,                        10.116,
6/17/2015 9:00:00 PM ,      36.000,                        14.403,                        23.260,                        10.136,
6/17/2015 10:00:00 PM,      37.000,                        14.396,                        22.967,                        10.132,
6/17/2015 11:00:00 PM,      38.000,                        14.415,                        23.651,                        10.145,
6/18/2015 12:00:00 AM,      39.000,                        14.407,                        24.721,                        10.140,
6/18/2015 1:00:00 AM ,      40.000,                        14.390,                        25.302,                        10.127,
6/18/2015 2:00:00 AM ,      41.000,                        14.422,                        25.689,                        10.150,
6/18/2015 3:00:00 AM ,      42.000,                        14.391,                        25.979,                        10.128,
6/18/2015 4:00:00 AM ,      43.000,                        14.412,                        26.172,                        10.143,
6/18/2015 5:00:00 AM ,      44.000,                        14.420,                        26.317,                        10.149,
6/18/2015 6:00:00 AM ,      45.000,                        14.412,                        26.413,                        10.143,
6/18/2015 7:00:00 AM ,      46.000,                        14.425,                        26.461,                        10.152,
6/18/2015 8:00:00 AM ,      47.000,                        14.424,                        26.557,                        10.151,
6/18/2015 9:00:00 AM ,      48.000,                        14.406,                        26.365,                        10.139,
6/18/2015 10:00:00 AM,      49.000,                        14.425,                        26.220,                        10.152,
6/18/2015 11:00:00 AM,      50.000,                        14.424,                        26.317,                        10.151,
6/18/2015 12:00:00 PM,      51.000,                        14.412,                        26.461,                        10.143,
6/18/2015 1:00:00 PM ,      52.000,                        14.405,                        26.461,                        10.138,
6/18/2015 2:00:00 PM ,      53.000,                        14.395,                        25.399,                        10.131,
6/18/2015 3:00:00 PM ,      54.000,                        14.393,                        24.769,                        10.130,
6/18/2015 4:00:00 PM ,      55.000,                        14.375,                        24.575,                        10.117,
6/18/2015 5:00:00 PM ,      56.000,                        14.382,                        24.575,                        10.122,
6/18/2015 6:00:00 PM ,      57.000,                        14.405,                        24.429,                        10.138,
6/18/2015 7:00:00 PM ,      58.000,                        14.416,                        24.818,                        10.146,
6/18/2015 8:00:00 PM ,      59.000,                        14.420,                        25.302,                        10.149,
6/18/2015 9:00:00 PM ,      60.000,                        14.433,                        25.592,                        10.158,
6/18/2015 10:00:00 PM,      61.000,                        14.444,                        25.786,                        10.166,
6/18/2015 11:00:00 PM,      62.000,                        14.457,                        26.124,                        10.174,
6/19/2015 12:00:00 AM,      63.000,                        14.448,                        26.317,                        10.168,
6/19/2015 1:00:00 AM ,      64.000,                        14.461,                        26.365,                        10.177,
6/19/2015 2:00:00 AM ,      65.000,                        14.464,                        26.365,                        10.179,
6/19/2015 3:00:00 AM ,      66.000,                        14.454,                        26.365,                        10.172,
6/19/2015 4:00:00 AM ,      67.000,                        14.437,                        26.317,                        10.161,
6/19/2015 5:00:00 AM ,      68.000,                        14.464,                        26.365,                        10.179,
6/19/2015 6:00:00 AM ,      69.000,                        14.470,                        26.413,                        10.184,
6/19/2015 7:00:00 AM ,      70.000,                        14.457,                        26.365,                        10.175,
6/19/2015 8:00:00 AM ,      71.000,                        14.488,                        26.365,                        10.196,
6/19/2015 9:00:00 AM ,      72.000,                        14.482,                        26.317,                        10.192,
6/19/2015 10:00:00 AM,      73.000,                        14.452,                        24.963,                        10.171,
6/19/2015 11:00:00 AM,      74.000,                        14.461,                        23.992,                        10.177,
6/19/2015 12:00:00 PM,      75.000,                        14.455,                        23.407,                        10.173,
6/19/2015 1:00:00 PM ,      76.000,                        14.456,                        23.358,                        10.174,
6/19/2015 2:00:00 PM ,      77.000,                        14.447,                        23.504,                        10.168,
6/19/2015 3:00:00 PM ,      78.000,                        14.427,                        23.504,                        10.153,
6/19/2015 4:00:00 PM ,      79.000,                        14.434,                        23.748,                        10.158,
6/19/2015 5:00:00 PM ,      80.000,                        14.437,                        23.797,                        10.160,
6/19/2015 6:00:00 PM ,      81.000,                        14.423,                        23.797,                        10.151,
6/19/2015 7:00:00 PM ,      82.000,                        14.428,                        23.894,                        10.154,
6/19/2015 8:00:00 PM ,      83.000,                        14.435,                        24.963,                        10.159,
6/19/2015 9:00:00 PM ,      84.000,                        14.453,                        25.641,                        10.172,
6/19/2015 10:00:00 PM,      85.000,                        14.434,                        26.027,                        10.159,
6/19/2015 11:00:00 PM,      86.000,                        14.471,                        26.317,                        10.185,
