Report Date:,10/7/2015 3:34:16 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-1_25m_monitoring_2015-10-07_15-33-58-934.wsl
Create Date,10/7/2015 3:33:57 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361377
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-1_25m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.2148 (m)
,Head Pressure:,14.5143 (PSI)
,Temperature:,25.2497 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:33:12 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361377,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361377                   ,SN#: 361377                   ,SN#: 361377                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.568,                        27.439,                        10.252,
6/16/2015 10:00:00 AM,       1.000,                        14.545,                        27.197,                        10.237,
6/16/2015 11:00:00 AM,       2.000,                        14.568,                        26.954,                        10.253,
6/16/2015 12:00:00 PM,       3.000,                        14.549,                        26.663,                        10.239,
6/16/2015 1:00:00 PM ,       4.000,                        14.527,                        26.420,                        10.224,
6/16/2015 2:00:00 PM ,       5.000,                        14.517,                        26.225,                        10.216,
6/16/2015 3:00:00 PM ,       6.000,                        14.503,                        26.079,                        10.207,
6/16/2015 4:00:00 PM ,       7.000,                        14.524,                        25.689,                        10.222,
6/16/2015 5:00:00 PM ,       8.000,                        14.496,                        25.299,                        10.202,
6/16/2015 6:00:00 PM ,       9.000,                        14.492,                        25.005,                        10.199,
6/16/2015 7:00:00 PM ,      10.000,                        14.526,                        24.760,                        10.223,
6/16/2015 8:00:00 PM ,      11.000,                        14.513,                        24.319,                        10.214,
6/16/2015 9:00:00 PM ,      12.000,                        14.523,                        24.270,                        10.221,
6/16/2015 10:00:00 PM,      13.000,                        14.514,                        24.712,                        10.215,
6/16/2015 11:00:00 PM,      14.000,                        14.541,                        25.250,                        10.233,
6/17/2015 12:00:00 AM,      15.000,                        14.536,                        25.738,                        10.230,
6/17/2015 1:00:00 AM ,      16.000,                        14.558,                        26.177,                        10.245,
6/17/2015 2:00:00 AM ,      17.000,                        14.536,                        26.566,                        10.230,
6/17/2015 3:00:00 AM ,      18.000,                        14.548,                        26.857,                        10.239,
6/17/2015 4:00:00 AM ,      19.000,                        14.520,                        27.051,                        10.219,
6/17/2015 5:00:00 AM ,      20.000,                        14.550,                        27.245,                        10.240,
6/17/2015 6:00:00 AM ,      21.000,                        14.540,                        27.342,                        10.233,
6/17/2015 7:00:00 AM ,      22.000,                        14.556,                        27.439,                        10.244,
6/17/2015 8:00:00 AM ,      23.000,                        14.542,                        27.536,                        10.235,
6/17/2015 9:00:00 AM ,      24.000,                        14.566,                        27.633,                        10.252,
6/17/2015 10:00:00 AM,      25.000,                        14.548,                        27.148,                        10.239,
6/17/2015 11:00:00 AM,      26.000,                        14.534,                        26.371,                        10.228,
6/17/2015 12:00:00 PM,      27.000,                        14.512,                        25.640,                        10.213,
6/17/2015 1:00:00 PM ,      28.000,                        14.517,                        25.201,                        10.217,
6/17/2015 2:00:00 PM ,      29.000,                        14.494,                        24.858,                        10.200,
6/17/2015 3:00:00 PM ,      30.000,                        14.493,                        24.516,                        10.200,
6/17/2015 4:00:00 PM ,      31.000,                        14.494,                        24.319,                        10.200,
6/17/2015 5:00:00 PM ,      32.000,                        14.485,                        24.221,                        10.194,
6/17/2015 6:00:00 PM ,      33.000,                        14.475,                        24.074,                        10.187,
6/17/2015 7:00:00 PM ,      34.000,                        14.493,                        23.976,                        10.200,
6/17/2015 8:00:00 PM ,      35.000,                        14.511,                        23.681,                        10.213,
6/17/2015 9:00:00 PM ,      36.000,                        14.536,                        23.533,                        10.230,
6/17/2015 10:00:00 PM,      37.000,                        14.529,                        23.040,                        10.225,
6/17/2015 11:00:00 PM,      38.000,                        14.521,                        23.238,                        10.219,
6/18/2015 12:00:00 AM,      39.000,                        14.546,                        23.730,                        10.237,
6/18/2015 1:00:00 AM ,      40.000,                        14.552,                        24.172,                        10.242,
6/18/2015 2:00:00 AM ,      41.000,                        14.534,                        24.760,                        10.229,
6/18/2015 3:00:00 AM ,      42.000,                        14.551,                        25.152,                        10.241,
6/18/2015 4:00:00 AM ,      43.000,                        14.563,                        25.494,                        10.249,
6/18/2015 5:00:00 AM ,      44.000,                        14.564,                        25.787,                        10.249,
6/18/2015 6:00:00 AM ,      45.000,                        14.543,                        25.982,                        10.235,
6/18/2015 7:00:00 AM ,      46.000,                        14.577,                        26.177,                        10.259,
6/18/2015 8:00:00 AM ,      47.000,                        14.563,                        26.323,                        10.249,
6/18/2015 9:00:00 AM ,      48.000,                        14.575,                        26.323,                        10.257,
6/18/2015 10:00:00 AM,      49.000,                        14.574,                        26.274,                        10.257,
6/18/2015 11:00:00 AM,      50.000,                        14.577,                        26.177,                        10.259,
6/18/2015 12:00:00 PM,      51.000,                        14.562,                        26.225,                        10.248,
6/18/2015 1:00:00 PM ,      52.000,                        14.551,                        26.225,                        10.240,
6/18/2015 2:00:00 PM ,      53.000,                        14.533,                        25.787,                        10.228,
6/18/2015 3:00:00 PM ,      54.000,                        14.510,                        25.201,                        10.212,
6/18/2015 4:00:00 PM ,      55.000,                        14.513,                        24.858,                        10.214,
6/18/2015 5:00:00 PM ,      56.000,                        14.521,                        24.663,                        10.220,
6/18/2015 6:00:00 PM ,      57.000,                        14.522,                        24.417,                        10.220,
6/18/2015 7:00:00 PM ,      58.000,                        14.534,                        24.466,                        10.228,
6/18/2015 8:00:00 PM ,      59.000,                        14.545,                        24.712,                        10.236,
6/18/2015 9:00:00 PM ,      60.000,                        14.537,                        24.956,                        10.231,
6/18/2015 10:00:00 PM,      61.000,                        14.574,                        25.152,                        10.257,
6/18/2015 11:00:00 PM,      62.000,                        14.590,                        25.494,                        10.268,
6/19/2015 12:00:00 AM,      63.000,                        14.574,                        25.738,                        10.257,
6/19/2015 1:00:00 AM ,      64.000,                        14.569,                        25.933,                        10.254,
6/19/2015 2:00:00 AM ,      65.000,                        14.590,                        26.079,                        10.268,
6/19/2015 3:00:00 AM ,      66.000,                        14.587,                        26.128,                        10.266,
6/19/2015 4:00:00 AM ,      67.000,                        14.561,                        26.177,                        10.248,
6/19/2015 5:00:00 AM ,      68.000,                        14.592,                        26.225,                        10.270,
6/19/2015 6:00:00 AM ,      69.000,                        14.601,                        26.274,                        10.276,
6/19/2015 7:00:00 AM ,      70.000,                        14.604,                        26.274,                        10.278,
6/19/2015 8:00:00 AM ,      71.000,                        14.589,                        26.274,                        10.268,
6/19/2015 9:00:00 AM ,      72.000,                        14.612,                        26.274,                        10.284,
6/19/2015 10:00:00 AM,      73.000,                        14.586,                        25.738,                        10.265,
6/19/2015 11:00:00 AM,      74.000,                        14.573,                        24.858,                        10.256,
6/19/2015 12:00:00 PM,      75.000,                        14.564,                        24.221,                        10.250,
6/19/2015 1:00:00 PM ,      76.000,                        14.565,                        23.730,                        10.251,
6/19/2015 2:00:00 PM ,      77.000,                        14.567,                        23.582,                        10.252,
6/19/2015 3:00:00 PM ,      78.000,                        14.540,                        23.533,                        10.233,
6/19/2015 4:00:00 PM ,      79.000,                        14.532,                        23.533,                        10.227,
6/19/2015 5:00:00 PM ,      80.000,                        14.535,                        23.484,                        10.230,
6/19/2015 6:00:00 PM ,      81.000,                        14.528,                        23.533,                        10.225,
6/19/2015 7:00:00 PM ,      82.000,                        14.529,                        23.582,                        10.225,
6/19/2015 8:00:00 PM ,      83.000,                        14.543,                        24.025,                        10.235,
6/19/2015 9:00:00 PM ,      84.000,                        14.552,                        24.663,                        10.241,
6/19/2015 10:00:00 PM,      85.000,                        14.552,                        25.201,                        10.241,
6/19/2015 11:00:00 PM,      86.000,                        14.584,                        25.640,                        10.264,
