Report Date:,10/7/2015 3:40:30 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-1_15m_monitoring_2015-10-07_15-40-19-731.wsl
Create Date,10/7/2015 3:40:17 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361548
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-1_15m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.2118 (m)
,Head Pressure:,14.5101 (PSI)
,Temperature:,25.4313 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:39:40 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361548,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361548                   ,SN#: 361548                   ,SN#: 361548                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.547,                        27.515,                        10.238,
6/16/2015 10:00:00 AM,       1.000,                        14.543,                        27.177,                        10.235,
6/16/2015 11:00:00 AM,       2.000,                        14.547,                        26.790,                        10.238,
6/16/2015 12:00:00 PM,       3.000,                        14.518,                        26.403,                        10.217,
6/16/2015 1:00:00 PM ,       4.000,                        14.530,                        26.257,                        10.226,
6/16/2015 2:00:00 PM ,       5.000,                        14.514,                        26.063,                        10.215,
6/16/2015 3:00:00 PM ,       6.000,                        14.497,                        25.966,                        10.203,
6/16/2015 4:00:00 PM ,       7.000,                        14.506,                        25.431,                        10.209,
6/16/2015 5:00:00 PM ,       8.000,                        14.468,                        25.285,                        10.183,
6/16/2015 6:00:00 PM ,       9.000,                        14.485,                        24.895,                        10.194,
6/16/2015 7:00:00 PM ,      10.000,                        14.502,                        24.505,                        10.206,
6/16/2015 8:00:00 PM ,      11.000,                        14.523,                        24.113,                        10.221,
6/16/2015 9:00:00 PM ,      12.000,                        14.511,                        24.162,                        10.212,
6/16/2015 10:00:00 PM,      13.000,                        14.548,                        24.846,                        10.238,
6/16/2015 11:00:00 PM,      14.000,                        14.539,                        25.529,                        10.232,
6/17/2015 12:00:00 AM,      15.000,                        14.526,                        26.015,                        10.223,
6/17/2015 1:00:00 AM ,      16.000,                        14.539,                        26.451,                        10.232,
6/17/2015 2:00:00 AM ,      17.000,                        14.551,                        26.790,                        10.241,
6/17/2015 3:00:00 AM ,      18.000,                        14.551,                        27.032,                        10.241,
6/17/2015 4:00:00 AM ,      19.000,                        14.534,                        27.177,                        10.229,
6/17/2015 5:00:00 AM ,      20.000,                        14.530,                        27.322,                        10.226,
6/17/2015 6:00:00 AM ,      21.000,                        14.542,                        27.419,                        10.235,
6/17/2015 7:00:00 AM ,      22.000,                        14.555,                        27.467,                        10.243,
6/17/2015 8:00:00 AM ,      23.000,                        14.517,                        27.564,                        10.217,
6/17/2015 9:00:00 AM ,      24.000,                        14.538,                        27.612,                        10.232,
6/17/2015 10:00:00 AM,      25.000,                        14.534,                        26.984,                        10.229,
6/17/2015 11:00:00 AM,      26.000,                        14.526,                        25.966,                        10.223,
6/17/2015 12:00:00 PM,      27.000,                        14.518,                        25.383,                        10.218,
6/17/2015 1:00:00 PM ,      28.000,                        14.494,                        24.944,                        10.200,
6/17/2015 2:00:00 PM ,      29.000,                        14.506,                        24.602,                        10.209,
6/17/2015 3:00:00 PM ,      30.000,                        14.490,                        24.260,                        10.198,
6/17/2015 4:00:00 PM ,      31.000,                        14.482,                        24.113,                        10.192,
6/17/2015 5:00:00 PM ,      32.000,                        14.490,                        24.015,                        10.198,
6/17/2015 6:00:00 PM ,      33.000,                        14.461,                        23.966,                        10.177,
6/17/2015 7:00:00 PM ,      34.000,                        14.490,                        23.868,                        10.198,
6/17/2015 8:00:00 PM ,      35.000,                        14.515,                        23.574,                        10.215,
6/17/2015 9:00:00 PM ,      36.000,                        14.524,                        23.280,                        10.221,
6/17/2015 10:00:00 PM,      37.000,                        14.532,                        22.936,                        10.227,
6/17/2015 11:00:00 PM,      38.000,                        14.507,                        23.083,                        10.210,
6/18/2015 12:00:00 AM,      39.000,                        14.507,                        23.770,                        10.210,
6/18/2015 1:00:00 AM ,      40.000,                        14.523,                        24.505,                        10.221,
6/18/2015 2:00:00 AM ,      41.000,                        14.531,                        25.090,                        10.227,
6/18/2015 3:00:00 AM ,      42.000,                        14.552,                        25.431,                        10.241,
6/18/2015 4:00:00 AM ,      43.000,                        14.564,                        25.772,                        10.250,
6/18/2015 5:00:00 AM ,      44.000,                        14.551,                        25.918,                        10.241,
6/18/2015 6:00:00 AM ,      45.000,                        14.539,                        26.112,                        10.232,
6/18/2015 7:00:00 AM ,      46.000,                        14.564,                        26.257,                        10.250,
6/18/2015 8:00:00 AM ,      47.000,                        14.555,                        26.403,                        10.244,
6/18/2015 9:00:00 AM ,      48.000,                        14.564,                        26.403,                        10.250,
6/18/2015 10:00:00 AM,      49.000,                        14.547,                        26.209,                        10.238,
6/18/2015 11:00:00 AM,      50.000,                        14.543,                        26.160,                        10.235,
6/18/2015 12:00:00 PM,      51.000,                        14.539,                        26.209,                        10.232,
6/18/2015 1:00:00 PM ,      52.000,                        14.526,                        26.257,                        10.223,
6/18/2015 2:00:00 PM ,      53.000,                        14.531,                        25.626,                        10.226,
6/18/2015 3:00:00 PM ,      54.000,                        14.531,                        25.090,                        10.227,
6/18/2015 4:00:00 PM ,      55.000,                        14.527,                        24.700,                        10.224,
6/18/2015 5:00:00 PM ,      56.000,                        14.494,                        24.505,                        10.200,
6/18/2015 6:00:00 PM ,      57.000,                        14.515,                        24.309,                        10.215,
6/18/2015 7:00:00 PM ,      58.000,                        14.511,                        24.358,                        10.212,
6/18/2015 8:00:00 PM ,      59.000,                        14.544,                        24.749,                        10.235,
6/18/2015 9:00:00 PM ,      60.000,                        14.544,                        25.042,                        10.235,
6/18/2015 10:00:00 PM,      61.000,                        14.560,                        25.237,                        10.247,
6/18/2015 11:00:00 PM,      62.000,                        14.581,                        25.723,                        10.262,
6/19/2015 12:00:00 AM,      63.000,                        14.585,                        25.918,                        10.264,
6/19/2015 1:00:00 AM ,      64.000,                        14.589,                        26.015,                        10.267,
6/19/2015 2:00:00 AM ,      65.000,                        14.556,                        26.209,                        10.244,
6/19/2015 3:00:00 AM ,      66.000,                        14.593,                        26.209,                        10.270,
6/19/2015 4:00:00 AM ,      67.000,                        14.568,                        26.209,                        10.253,
6/19/2015 5:00:00 AM ,      68.000,                        14.576,                        26.257,                        10.258,
6/19/2015 6:00:00 AM ,      69.000,                        14.589,                        26.257,                        10.267,
6/19/2015 7:00:00 AM ,      70.000,                        14.597,                        26.257,                        10.273,
6/19/2015 8:00:00 AM ,      71.000,                        14.605,                        26.306,                        10.279,
6/19/2015 9:00:00 AM ,      72.000,                        14.601,                        26.306,                        10.276,
6/19/2015 10:00:00 AM,      73.000,                        14.597,                        25.577,                        10.273,
6/19/2015 11:00:00 AM,      74.000,                        14.561,                        24.553,                        10.247,
6/19/2015 12:00:00 PM,      75.000,                        14.573,                        23.819,                        10.256,
6/19/2015 1:00:00 PM ,      76.000,                        14.569,                        23.476,                        10.254,
6/19/2015 2:00:00 PM ,      77.000,                        14.561,                        23.427,                        10.248,
6/19/2015 3:00:00 PM ,      78.000,                        14.540,                        23.329,                        10.233,
6/19/2015 4:00:00 PM ,      79.000,                        14.532,                        23.427,                        10.227,
6/19/2015 5:00:00 PM ,      80.000,                        14.536,                        23.525,                        10.230,
6/19/2015 6:00:00 PM ,      81.000,                        14.540,                        23.574,                        10.233,
6/19/2015 7:00:00 PM ,      82.000,                        14.561,                        23.525,                        10.248,
6/19/2015 8:00:00 PM ,      83.000,                        14.544,                        24.162,                        10.236,
6/19/2015 9:00:00 PM ,      84.000,                        14.560,                        24.749,                        10.247,
6/19/2015 10:00:00 PM,      85.000,                        14.552,                        25.383,                        10.241,
6/19/2015 11:00:00 PM,      86.000,                        14.568,                        25.820,                        10.253,
