Report Date:,10/7/2015 2:18:11 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-2_20m_monitoring_2015-10-07_14-17-34-734.wsl
Create Date,10/7/2015 2:17:31 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361567
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-2_20m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1584 (m)
,Head Pressure:,14.4341 (PSI)
,Temperature:,24.822 (C)



Log Notes:
Date and Time,Note
10/7/2015 2:16:46 PM ,Manual Stop Command


Log Data:
Record Count,2718

Sensors,1

 ,1,361567,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361567                   ,SN#: 361567                   ,SN#: 361567                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.488,                        27.348,                        10.197,
6/16/2015 10:00:00 AM,       1.000,                        14.461,                        27.106,                        10.177,
6/16/2015 11:00:00 AM,       2.000,                        14.458,                        26.864,                        10.175,
6/16/2015 12:00:00 PM,       3.000,                        14.460,                        26.573,                        10.176,
6/16/2015 1:00:00 PM ,       4.000,                        14.466,                        26.379,                        10.181,
6/16/2015 2:00:00 PM ,       5.000,                        14.439,                        26.185,                        10.162,
6/16/2015 3:00:00 PM ,       6.000,                        14.430,                        26.088,                        10.155,
6/16/2015 4:00:00 PM ,       7.000,                        14.426,                        25.699,                        10.152,
6/16/2015 5:00:00 PM ,       8.000,                        14.422,                        25.358,                        10.150,
6/16/2015 6:00:00 PM ,       9.000,                        14.419,                        25.017,                        10.148,
6/16/2015 7:00:00 PM ,      10.000,                        14.446,                        24.724,                        10.167,
6/16/2015 8:00:00 PM ,      11.000,                        14.459,                        24.333,                        10.176,
6/16/2015 9:00:00 PM ,      12.000,                        14.450,                        24.235,                        10.169,
6/16/2015 10:00:00 PM,      13.000,                        14.458,                        24.627,                        10.175,
6/16/2015 11:00:00 PM,      14.000,                        14.458,                        25.115,                        10.175,
6/17/2015 12:00:00 AM,      15.000,                        14.468,                        25.651,                        10.182,
6/17/2015 1:00:00 AM ,      16.000,                        14.459,                        26.088,                        10.176,
6/17/2015 2:00:00 AM ,      17.000,                        14.446,                        26.428,                        10.166,
6/17/2015 3:00:00 AM ,      18.000,                        14.470,                        26.767,                        10.184,
6/17/2015 4:00:00 AM ,      19.000,                        14.442,                        26.961,                        10.164,
6/17/2015 5:00:00 AM ,      20.000,                        14.440,                        27.106,                        10.162,
6/17/2015 6:00:00 AM ,      21.000,                        14.474,                        27.203,                        10.187,
6/17/2015 7:00:00 AM ,      22.000,                        14.438,                        27.348,                        10.161,
6/17/2015 8:00:00 AM ,      23.000,                        14.443,                        27.444,                        10.165,
6/17/2015 9:00:00 AM ,      24.000,                        14.477,                        27.493,                        10.189,
6/17/2015 10:00:00 AM,      25.000,                        14.469,                        27.106,                        10.183,
6/17/2015 11:00:00 AM,      26.000,                        14.445,                        26.379,                        10.166,
6/17/2015 12:00:00 PM,      27.000,                        14.434,                        25.699,                        10.158,
6/17/2015 1:00:00 PM ,      28.000,                        14.434,                        25.212,                        10.158,
6/17/2015 2:00:00 PM ,      29.000,                        14.413,                        24.871,                        10.144,
6/17/2015 3:00:00 PM ,      30.000,                        14.406,                        24.578,                        10.139,
6/17/2015 4:00:00 PM ,      31.000,                        14.404,                        24.333,                        10.137,
6/17/2015 5:00:00 PM ,      32.000,                        14.419,                        24.137,                        10.148,
6/17/2015 6:00:00 PM ,      33.000,                        14.414,                        24.089,                        10.145,
6/17/2015 7:00:00 PM ,      34.000,                        14.417,                        23.942,                        10.146,
6/17/2015 8:00:00 PM ,      35.000,                        14.432,                        23.745,                        10.157,
6/17/2015 9:00:00 PM ,      36.000,                        14.425,                        23.451,                        10.152,
6/17/2015 10:00:00 PM,      37.000,                        14.461,                        23.156,                        10.177,
6/17/2015 11:00:00 PM,      38.000,                        14.465,                        23.156,                        10.180,
6/18/2015 12:00:00 AM,      39.000,                        14.456,                        23.598,                        10.174,
6/18/2015 1:00:00 AM ,      40.000,                        14.461,                        24.137,                        10.178,
6/18/2015 2:00:00 AM ,      41.000,                        14.449,                        24.627,                        10.169,
6/18/2015 3:00:00 AM ,      42.000,                        14.457,                        25.017,                        10.175,
6/18/2015 4:00:00 AM ,      43.000,                        14.452,                        25.358,                        10.171,
6/18/2015 5:00:00 AM ,      44.000,                        14.459,                        25.651,                        10.176,
6/18/2015 6:00:00 AM ,      45.000,                        14.465,                        25.845,                        10.180,
6/18/2015 7:00:00 AM ,      46.000,                        14.480,                        26.040,                        10.190,
6/18/2015 8:00:00 AM ,      47.000,                        14.460,                        26.185,                        10.177,
6/18/2015 9:00:00 AM ,      48.000,                        14.477,                        26.234,                        10.189,
6/18/2015 10:00:00 AM,      49.000,                        14.481,                        26.137,                        10.191,
6/18/2015 11:00:00 AM,      50.000,                        14.481,                        26.137,                        10.191,
6/18/2015 12:00:00 PM,      51.000,                        14.455,                        26.137,                        10.173,
6/18/2015 1:00:00 PM ,      52.000,                        14.464,                        26.185,                        10.180,
6/18/2015 2:00:00 PM ,      53.000,                        14.464,                        25.748,                        10.180,
6/18/2015 3:00:00 PM ,      54.000,                        14.446,                        25.212,                        10.167,
6/18/2015 4:00:00 PM ,      55.000,                        14.430,                        24.871,                        10.156,
6/18/2015 5:00:00 PM ,      56.000,                        14.432,                        24.578,                        10.157,
6/18/2015 6:00:00 PM ,      57.000,                        14.421,                        24.382,                        10.149,
6/18/2015 7:00:00 PM ,      58.000,                        14.455,                        24.333,                        10.173,
6/18/2015 8:00:00 PM ,      59.000,                        14.440,                        24.578,                        10.163,
6/18/2015 9:00:00 PM ,      60.000,                        14.472,                        24.822,                        10.185,
6/18/2015 10:00:00 PM,      61.000,                        14.500,                        25.066,                        10.205,
6/18/2015 11:00:00 PM,      62.000,                        14.486,                        25.358,                        10.195,
6/19/2015 12:00:00 AM,      63.000,                        14.467,                        25.602,                        10.182,
6/19/2015 1:00:00 AM ,      64.000,                        14.507,                        25.796,                        10.210,
6/19/2015 2:00:00 AM ,      65.000,                        14.483,                        25.942,                        10.193,
6/19/2015 3:00:00 AM ,      66.000,                        14.522,                        26.040,                        10.220,
6/19/2015 4:00:00 AM ,      67.000,                        14.523,                        26.088,                        10.221,
6/19/2015 5:00:00 AM ,      68.000,                        14.515,                        26.137,                        10.215,
6/19/2015 6:00:00 AM ,      69.000,                        14.507,                        26.185,                        10.209,
6/19/2015 7:00:00 AM ,      70.000,                        14.511,                        26.185,                        10.212,
6/19/2015 8:00:00 AM ,      71.000,                        14.515,                        26.185,                        10.215,
6/19/2015 9:00:00 AM ,      72.000,                        14.532,                        26.185,                        10.227,
6/19/2015 10:00:00 AM,      73.000,                        14.519,                        25.699,                        10.218,
6/19/2015 11:00:00 AM,      74.000,                        14.490,                        24.920,                        10.198,
6/19/2015 12:00:00 PM,      75.000,                        14.521,                        24.235,                        10.220,
6/19/2015 1:00:00 PM ,      76.000,                        14.488,                        23.844,                        10.196,
6/19/2015 2:00:00 PM ,      77.000,                        14.478,                        23.647,                        10.189,
6/19/2015 3:00:00 PM ,      78.000,                        14.489,                        23.500,                        10.197,
6/19/2015 4:00:00 PM ,      79.000,                        14.493,                        23.500,                        10.200,
6/19/2015 5:00:00 PM ,      80.000,                        14.460,                        23.500,                        10.176,
6/19/2015 6:00:00 PM ,      81.000,                        14.460,                        23.549,                        10.177,
6/19/2015 7:00:00 PM ,      82.000,                        14.468,                        23.549,                        10.183,
6/19/2015 8:00:00 PM ,      83.000,                        14.485,                        23.942,                        10.194,
6/19/2015 9:00:00 PM ,      84.000,                        14.495,                        24.529,                        10.201,
6/19/2015 10:00:00 PM,      85.000,                        14.504,                        25.017,                        10.207,
6/19/2015 11:00:00 PM,      86.000,                        14.504,                        25.456,                        10.207,
