Report Date:,10/7/2015 4:03:17 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-1_20m_monitoring_2015-10-07_16-03-09-492.wsl
Create Date,10/7/2015 4:03:07 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361486
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-1_20m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1332 (m)
,Head Pressure:,14.3984 (PSI)
,Temperature:,25.1425 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:02:17 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361486,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361486                   ,SN#: 361486                   ,SN#: 361486                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.434,                        27.509,                        10.158,
6/16/2015 10:00:00 AM,       1.000,                        14.434,                        26.980,                        10.158,
6/16/2015 11:00:00 AM,       2.000,                        14.434,                        26.498,                        10.158,
6/16/2015 12:00:00 PM,       3.000,                        14.403,                        26.160,                        10.136,
6/16/2015 1:00:00 PM ,       4.000,                        14.421,                        25.966,                        10.149,
6/16/2015 2:00:00 PM ,       5.000,                        14.385,                        25.870,                        10.124,
6/16/2015 3:00:00 PM ,       6.000,                        14.401,                        25.821,                        10.135,
6/16/2015 4:00:00 PM ,       7.000,                        14.375,                        25.531,                        10.117,
6/16/2015 5:00:00 PM ,       8.000,                        14.405,                        25.288,                        10.138,
6/16/2015 6:00:00 PM ,       9.000,                        14.379,                        24.997,                        10.120,
6/16/2015 7:00:00 PM ,      10.000,                        14.401,                        24.802,                        10.135,
6/16/2015 8:00:00 PM ,      11.000,                        14.411,                        24.365,                        10.142,
6/16/2015 9:00:00 PM ,      12.000,                        14.413,                        24.511,                        10.144,
6/16/2015 10:00:00 PM,      13.000,                        14.420,                        25.191,                        10.149,
6/16/2015 11:00:00 PM,      14.000,                        14.405,                        25.773,                        10.138,
6/17/2015 12:00:00 AM,      15.000,                        14.414,                        26.305,                        10.144,
6/17/2015 1:00:00 AM ,      16.000,                        14.429,                        26.691,                        10.155,
6/17/2015 2:00:00 AM ,      17.000,                        14.424,                        26.932,                        10.152,
6/17/2015 3:00:00 AM ,      18.000,                        14.431,                        27.076,                        10.156,
6/17/2015 4:00:00 AM ,      19.000,                        14.434,                        27.221,                        10.158,
6/17/2015 5:00:00 AM ,      20.000,                        14.431,                        27.317,                        10.156,
6/17/2015 6:00:00 AM ,      21.000,                        14.416,                        27.413,                        10.145,
6/17/2015 7:00:00 AM ,      22.000,                        14.417,                        27.509,                        10.147,
6/17/2015 8:00:00 AM ,      23.000,                        14.432,                        27.605,                        10.157,
6/17/2015 9:00:00 AM ,      24.000,                        14.431,                        27.557,                        10.156,
6/17/2015 10:00:00 AM,      25.000,                        14.399,                        26.932,                        10.134,
6/17/2015 11:00:00 AM,      26.000,                        14.439,                        26.063,                        10.162,
6/17/2015 12:00:00 PM,      27.000,                        14.399,                        25.434,                        10.134,
6/17/2015 1:00:00 PM ,      28.000,                        14.402,                        25.094,                        10.136,
6/17/2015 2:00:00 PM ,      29.000,                        14.381,                        24.851,                        10.121,
6/17/2015 3:00:00 PM ,      30.000,                        14.361,                        24.657,                        10.107,
6/17/2015 4:00:00 PM ,      31.000,                        14.358,                        24.511,                        10.105,
6/17/2015 5:00:00 PM ,      32.000,                        14.369,                        24.413,                        10.113,
6/17/2015 6:00:00 PM ,      33.000,                        14.398,                        24.365,                        10.133,
6/17/2015 7:00:00 PM ,      34.000,                        14.384,                        24.267,                        10.123,
6/17/2015 8:00:00 PM ,      35.000,                        14.399,                        23.926,                        10.134,
6/17/2015 9:00:00 PM ,      36.000,                        14.393,                        23.584,                        10.130,
6/17/2015 10:00:00 PM,      37.000,                        14.413,                        23.242,                        10.144,
6/17/2015 11:00:00 PM,      38.000,                        14.425,                        23.437,                        10.152,
6/18/2015 12:00:00 AM,      39.000,                        14.404,                        24.218,                        10.137,
6/18/2015 1:00:00 AM ,      40.000,                        14.440,                        24.851,                        10.162,
6/18/2015 2:00:00 AM ,      41.000,                        14.419,                        25.337,                        10.147,
6/18/2015 3:00:00 AM ,      42.000,                        14.416,                        25.676,                        10.145,
6/18/2015 4:00:00 AM ,      43.000,                        14.433,                        25.966,                        10.158,
6/18/2015 5:00:00 AM ,      44.000,                        14.432,                        26.111,                        10.157,
6/18/2015 6:00:00 AM ,      45.000,                        14.434,                        26.256,                        10.158,
6/18/2015 7:00:00 AM ,      46.000,                        14.453,                        26.353,                        10.171,
6/18/2015 8:00:00 AM ,      47.000,                        14.425,                        26.450,                        10.152,
6/18/2015 9:00:00 AM ,      48.000,                        14.461,                        26.353,                        10.177,
6/18/2015 10:00:00 AM,      49.000,                        14.426,                        26.256,                        10.152,
6/18/2015 11:00:00 AM,      50.000,                        14.431,                        26.305,                        10.156,
6/18/2015 12:00:00 PM,      51.000,                        14.436,                        26.353,                        10.159,
6/18/2015 1:00:00 PM ,      52.000,                        14.416,                        26.450,                        10.146,
6/18/2015 2:00:00 PM ,      53.000,                        14.406,                        25.821,                        10.138,
6/18/2015 3:00:00 PM ,      54.000,                        14.395,                        25.191,                        10.131,
6/18/2015 4:00:00 PM ,      55.000,                        14.419,                        24.851,                        10.148,
6/18/2015 5:00:00 PM ,      56.000,                        14.387,                        24.705,                        10.125,
6/18/2015 6:00:00 PM ,      57.000,                        14.410,                        24.559,                        10.141,
6/18/2015 7:00:00 PM ,      58.000,                        14.403,                        24.657,                        10.136,
6/18/2015 8:00:00 PM ,      59.000,                        14.427,                        25.094,                        10.153,
6/18/2015 9:00:00 PM ,      60.000,                        14.428,                        25.385,                        10.154,
6/18/2015 10:00:00 PM,      61.000,                        14.456,                        25.579,                        10.174,
6/18/2015 11:00:00 PM,      62.000,                        14.436,                        25.870,                        10.160,
6/19/2015 12:00:00 AM,      63.000,                        14.456,                        26.063,                        10.174,
6/19/2015 1:00:00 AM ,      64.000,                        14.468,                        26.256,                        10.182,
6/19/2015 2:00:00 AM ,      65.000,                        14.443,                        26.256,                        10.164,
6/19/2015 3:00:00 AM ,      66.000,                        14.460,                        26.305,                        10.177,
6/19/2015 4:00:00 AM ,      67.000,                        14.477,                        26.305,                        10.189,
6/19/2015 5:00:00 AM ,      68.000,                        14.448,                        26.305,                        10.168,
6/19/2015 6:00:00 AM ,      69.000,                        14.469,                        26.353,                        10.183,
6/19/2015 7:00:00 AM ,      70.000,                        14.490,                        26.305,                        10.197,
6/19/2015 8:00:00 AM ,      71.000,                        14.478,                        26.353,                        10.189,
6/19/2015 9:00:00 AM ,      72.000,                        14.478,                        26.353,                        10.189,
6/19/2015 10:00:00 AM,      73.000,                        14.464,                        25.531,                        10.179,
6/19/2015 11:00:00 AM,      74.000,                        14.474,                        24.608,                        10.186,
6/19/2015 12:00:00 PM,      75.000,                        14.462,                        23.926,                        10.178,
6/19/2015 1:00:00 PM ,      76.000,                        14.446,                        23.682,                        10.167,
6/19/2015 2:00:00 PM ,      77.000,                        14.441,                        23.633,                        10.163,
6/19/2015 3:00:00 PM ,      78.000,                        14.458,                        23.633,                        10.175,
6/19/2015 4:00:00 PM ,      79.000,                        14.442,                        23.731,                        10.164,
6/19/2015 5:00:00 PM ,      80.000,                        14.431,                        23.828,                        10.156,
6/19/2015 6:00:00 PM ,      81.000,                        14.445,                        23.877,                        10.166,
6/19/2015 7:00:00 PM ,      82.000,                        14.445,                        23.877,                        10.166,
6/19/2015 8:00:00 PM ,      83.000,                        14.468,                        24.511,                        10.182,
6/19/2015 9:00:00 PM ,      84.000,                        14.479,                        25.191,                        10.190,
6/19/2015 10:00:00 PM,      85.000,                        14.471,                        25.676,                        10.184,
6/19/2015 11:00:00 PM,      86.000,                        14.476,                        26.015,                        10.188,
