Report Date:,10/7/2015 4:36:29 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,IB-1_70m_monitoring_2015-10-07_16-36-08-415.wsl
Create Date,10/7/2015 4:36:04 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361552
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,IB-1_70m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1661 (m)
,Head Pressure:,14.4451 (PSI)
,Temperature:,25.0363 (C)



Log Notes:
Date and Time,Note
10/7/2015 4:35:23 PM ,Manual Stop Command


Log Data:
Record Count,2720

Sensors,1

 ,1,361552,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361552                   ,SN#: 361552                   ,SN#: 361552                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.459,                        27.176,                        10.176,
6/16/2015 10:00:00 AM,       1.000,                        14.455,                        27.079,                        10.173,
6/16/2015 11:00:00 AM,       2.000,                        14.459,                        26.836,                        10.176,
6/16/2015 12:00:00 PM,       3.000,                        14.472,                        26.448,                        10.185,
6/16/2015 1:00:00 PM ,       4.000,                        14.442,                        26.351,                        10.164,
6/16/2015 2:00:00 PM ,       5.000,                        14.441,                        26.011,                        10.163,
6/16/2015 3:00:00 PM ,       6.000,                        14.433,                        26.060,                        10.157,
6/16/2015 4:00:00 PM ,       7.000,                        14.433,                        25.670,                        10.157,
6/16/2015 5:00:00 PM ,       8.000,                        14.432,                        25.378,                        10.157,
6/16/2015 6:00:00 PM ,       9.000,                        14.432,                        25.134,                        10.157,
6/16/2015 7:00:00 PM ,      10.000,                        14.458,                        24.792,                        10.175,
6/16/2015 8:00:00 PM ,      11.000,                        14.462,                        24.499,                        10.178,
6/16/2015 9:00:00 PM ,      12.000,                        14.466,                        24.254,                        10.181,
6/16/2015 10:00:00 PM,      13.000,                        14.432,                        24.645,                        10.157,
6/16/2015 11:00:00 PM,      14.000,                        14.449,                        25.134,                        10.169,
6/17/2015 12:00:00 AM,      15.000,                        14.463,                        25.573,                        10.178,
6/17/2015 1:00:00 AM ,      16.000,                        14.472,                        26.060,                        10.185,
6/17/2015 2:00:00 AM ,      17.000,                        14.472,                        26.448,                        10.185,
6/17/2015 3:00:00 AM ,      18.000,                        14.481,                        26.642,                        10.191,
6/17/2015 4:00:00 AM ,      19.000,                        14.451,                        26.885,                        10.170,
6/17/2015 5:00:00 AM ,      20.000,                        14.489,                        27.079,                        10.197,
6/17/2015 6:00:00 AM ,      21.000,                        14.477,                        27.176,                        10.188,
6/17/2015 7:00:00 AM ,      22.000,                        14.481,                        27.272,                        10.191,
6/17/2015 8:00:00 AM ,      23.000,                        14.468,                        27.369,                        10.182,
6/17/2015 9:00:00 AM ,      24.000,                        14.477,                        27.466,                        10.188,
6/17/2015 10:00:00 AM,      25.000,                        14.472,                        27.224,                        10.185,
6/17/2015 11:00:00 AM,      26.000,                        14.459,                        26.545,                        10.176,
6/17/2015 12:00:00 PM,      27.000,                        14.450,                        25.962,                        10.170,
6/17/2015 1:00:00 PM ,      28.000,                        14.441,                        25.378,                        10.163,
6/17/2015 2:00:00 PM ,      29.000,                        14.428,                        24.987,                        10.154,
6/17/2015 3:00:00 PM ,      30.000,                        14.436,                        24.743,                        10.160,
6/17/2015 4:00:00 PM ,      31.000,                        14.432,                        24.499,                        10.157,
6/17/2015 5:00:00 PM ,      32.000,                        14.441,                        24.352,                        10.163,
6/17/2015 6:00:00 PM ,      33.000,                        14.432,                        24.254,                        10.157,
6/17/2015 7:00:00 PM ,      34.000,                        14.415,                        24.156,                        10.145,
6/17/2015 8:00:00 PM ,      35.000,                        14.423,                        23.960,                        10.151,
6/17/2015 9:00:00 PM ,      36.000,                        14.466,                        23.665,                        10.181,
6/17/2015 10:00:00 PM,      37.000,                        14.475,                        23.321,                        10.187,
6/17/2015 11:00:00 PM,      38.000,                        14.479,                        23.223,                        10.190,
6/18/2015 12:00:00 AM,      39.000,                        14.457,                        23.616,                        10.175,
6/18/2015 1:00:00 AM ,      40.000,                        14.466,                        24.107,                        10.181,
6/18/2015 2:00:00 AM ,      41.000,                        14.471,                        24.547,                        10.184,
6/18/2015 3:00:00 AM ,      42.000,                        14.488,                        24.987,                        10.196,
6/18/2015 4:00:00 AM ,      43.000,                        14.475,                        25.280,                        10.187,
6/18/2015 5:00:00 AM ,      44.000,                        14.467,                        25.524,                        10.181,
6/18/2015 6:00:00 AM ,      45.000,                        14.506,                        25.816,                        10.209,
6/18/2015 7:00:00 AM ,      46.000,                        14.510,                        25.719,                        10.212,
6/18/2015 8:00:00 AM ,      47.000,                        14.493,                        26.108,                        10.200,
6/18/2015 9:00:00 AM ,      48.000,                        14.480,                        26.157,                        10.191,
6/18/2015 10:00:00 AM,      49.000,                        14.480,                        25.914,                        10.191,
6/18/2015 11:00:00 AM,      50.000,                        14.484,                        26.060,                        10.194,
6/18/2015 12:00:00 PM,      51.000,                        14.472,                        26.157,                        10.185,
6/18/2015 1:00:00 PM ,      52.000,                        14.485,                        26.254,                        10.194,
6/18/2015 2:00:00 PM ,      53.000,                        14.480,                        25.914,                        10.191,
6/18/2015 3:00:00 PM ,      54.000,                        14.450,                        25.378,                        10.169,
6/18/2015 4:00:00 PM ,      55.000,                        14.458,                        25.036,                        10.175,
6/18/2015 5:00:00 PM ,      56.000,                        14.454,                        24.743,                        10.172,
6/18/2015 6:00:00 PM ,      57.000,                        14.462,                        24.499,                        10.178,
6/18/2015 7:00:00 PM ,      58.000,                        14.445,                        24.401,                        10.166,
6/18/2015 8:00:00 PM ,      59.000,                        14.462,                        24.645,                        10.178,
6/18/2015 9:00:00 PM ,      60.000,                        14.497,                        24.841,                        10.202,
6/18/2015 10:00:00 PM,      61.000,                        14.497,                        24.987,                        10.202,
6/18/2015 11:00:00 PM,      62.000,                        14.480,                        25.329,                        10.190,
6/19/2015 12:00:00 AM,      63.000,                        14.514,                        25.573,                        10.215,
6/19/2015 1:00:00 AM ,      64.000,                        14.506,                        25.768,                        10.209,
6/19/2015 2:00:00 AM ,      65.000,                        14.523,                        25.670,                        10.221,
6/19/2015 3:00:00 AM ,      66.000,                        14.515,                        26.060,                        10.215,
6/19/2015 4:00:00 AM ,      67.000,                        14.536,                        25.914,                        10.230,
6/19/2015 5:00:00 AM ,      68.000,                        14.519,                        25.962,                        10.218,
6/19/2015 6:00:00 AM ,      69.000,                        14.532,                        26.108,                        10.227,
6/19/2015 7:00:00 AM ,      70.000,                        14.510,                        26.205,                        10.212,
6/19/2015 8:00:00 AM ,      71.000,                        14.541,                        26.254,                        10.233,
6/19/2015 9:00:00 AM ,      72.000,                        14.558,                        26.303,                        10.245,
6/19/2015 10:00:00 AM,      73.000,                        14.523,                        25.914,                        10.221,
6/19/2015 11:00:00 AM,      74.000,                        14.518,                        25.232,                        10.218,
6/19/2015 12:00:00 PM,      75.000,                        14.509,                        24.499,                        10.211,
6/19/2015 1:00:00 PM ,      76.000,                        14.492,                        24.009,                        10.199,
6/19/2015 2:00:00 PM ,      77.000,                        14.492,                        23.861,                        10.199,
6/19/2015 3:00:00 PM ,      78.000,                        14.483,                        23.714,                        10.193,
6/19/2015 4:00:00 PM ,      79.000,                        14.496,                        23.665,                        10.202,
6/19/2015 5:00:00 PM ,      80.000,                        14.488,                        23.665,                        10.196,
6/19/2015 6:00:00 PM ,      81.000,                        14.466,                        23.714,                        10.181,
6/19/2015 7:00:00 PM ,      82.000,                        14.475,                        23.714,                        10.187,
6/19/2015 8:00:00 PM ,      83.000,                        14.505,                        23.960,                        10.208,
6/19/2015 9:00:00 PM ,      84.000,                        14.501,                        24.450,                        10.205,
6/19/2015 10:00:00 PM,      85.000,                        14.510,                        24.987,                        10.212,
6/19/2015 11:00:00 PM,      86.000,                        14.514,                        25.329,                        10.215,
