Report Date:,10/7/2015 4:00:21 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,AB-1_30m_monitoring_2015-10-07_16-00-13-006.wsl
Create Date,10/7/2015 4:00:10 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361651
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,AB-1_30m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1749 (m)
,Head Pressure:,14.4576 (PSI)
,Temperature:,24.9064 (C)



Log Notes:
Date and Time,Note
10/7/2015 3:59:30 PM ,Manual Stop Command


Log Data:
Record Count,2719

Sensors,1

 ,1,361651,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361651                   ,SN#: 361651                   ,SN#: 361651                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.458,                        27.377,                        10.175,
6/16/2015 10:00:00 AM,       1.000,                        14.478,                        27.088,                        10.189,
6/16/2015 11:00:00 AM,       2.000,                        14.466,                        26.702,                        10.180,
6/16/2015 12:00:00 PM,       3.000,                        14.460,                        26.363,                        10.177,
6/16/2015 1:00:00 PM ,       4.000,                        14.462,                        26.072,                        10.178,
6/16/2015 2:00:00 PM ,       5.000,                        14.438,                        25.878,                        10.161,
6/16/2015 3:00:00 PM ,       6.000,                        14.431,                        25.830,                        10.156,
6/16/2015 4:00:00 PM ,       7.000,                        14.436,                        25.684,                        10.159,
6/16/2015 5:00:00 PM ,       8.000,                        14.437,                        25.442,                        10.160,
6/16/2015 6:00:00 PM ,       9.000,                        14.431,                        25.198,                        10.156,
6/16/2015 7:00:00 PM ,      10.000,                        14.472,                        24.955,                        10.185,
6/16/2015 8:00:00 PM ,      11.000,                        14.459,                        24.565,                        10.176,
6/16/2015 9:00:00 PM ,      12.000,                        14.478,                        24.468,                        10.189,
6/16/2015 10:00:00 PM,      13.000,                        14.475,                        24.906,                        10.187,
6/16/2015 11:00:00 PM,      14.000,                        14.490,                        25.442,                        10.198,
6/17/2015 12:00:00 AM,      15.000,                        14.466,                        25.975,                        10.181,
6/17/2015 1:00:00 AM ,      16.000,                        14.489,                        26.315,                        10.197,
6/17/2015 2:00:00 AM ,      17.000,                        14.469,                        26.702,                        10.183,
6/17/2015 3:00:00 AM ,      18.000,                        14.471,                        26.943,                        10.185,
6/17/2015 4:00:00 AM ,      19.000,                        14.446,                        27.088,                        10.166,
6/17/2015 5:00:00 AM ,      20.000,                        14.463,                        27.233,                        10.178,
6/17/2015 6:00:00 AM ,      21.000,                        14.469,                        27.329,                        10.183,
6/17/2015 7:00:00 AM ,      22.000,                        14.501,                        27.426,                        10.205,
6/17/2015 8:00:00 AM ,      23.000,                        14.489,                        27.522,                        10.197,
6/17/2015 9:00:00 AM ,      24.000,                        14.482,                        27.570,                        10.192,
6/17/2015 10:00:00 AM,      25.000,                        14.470,                        27.184,                        10.184,
6/17/2015 11:00:00 AM,      26.000,                        14.453,                        26.411,                        10.172,
6/17/2015 12:00:00 PM,      27.000,                        14.460,                        25.781,                        10.177,
6/17/2015 1:00:00 PM ,      28.000,                        14.455,                        25.393,                        10.173,
6/17/2015 2:00:00 PM ,      29.000,                        14.453,                        25.052,                        10.172,
6/17/2015 3:00:00 PM ,      30.000,                        14.440,                        24.809,                        10.163,
6/17/2015 4:00:00 PM ,      31.000,                        14.431,                        24.614,                        10.156,
6/17/2015 5:00:00 PM ,      32.000,                        14.428,                        24.468,                        10.154,
6/17/2015 6:00:00 PM ,      33.000,                        14.450,                        24.370,                        10.169,
6/17/2015 7:00:00 PM ,      34.000,                        14.457,                        24.321,                        10.175,
6/17/2015 8:00:00 PM ,      35.000,                        14.451,                        24.077,                        10.171,
6/17/2015 9:00:00 PM ,      36.000,                        14.471,                        23.784,                        10.184,
6/17/2015 10:00:00 PM,      37.000,                        14.494,                        23.441,                        10.200,
6/17/2015 11:00:00 PM,      38.000,                        14.487,                        23.392,                        10.196,
6/18/2015 12:00:00 AM,      39.000,                        14.470,                        23.930,                        10.184,
6/18/2015 1:00:00 AM ,      40.000,                        14.485,                        24.516,                        10.194,
6/18/2015 2:00:00 AM ,      41.000,                        14.496,                        25.004,                        10.202,
6/18/2015 3:00:00 AM ,      42.000,                        14.498,                        25.393,                        10.203,
6/18/2015 4:00:00 AM ,      43.000,                        14.485,                        25.684,                        10.194,
6/18/2015 5:00:00 AM ,      44.000,                        14.502,                        25.927,                        10.206,
6/18/2015 6:00:00 AM ,      45.000,                        14.501,                        25.975,                        10.206,
6/18/2015 7:00:00 AM ,      46.000,                        14.511,                        26.218,                        10.212,
6/18/2015 8:00:00 AM ,      47.000,                        14.521,                        26.363,                        10.219,
6/18/2015 9:00:00 AM ,      48.000,                        14.499,                        26.363,                        10.204,
6/18/2015 10:00:00 AM,      49.000,                        14.500,                        26.266,                        10.205,
6/18/2015 11:00:00 AM,      50.000,                        14.508,                        26.169,                        10.210,
6/18/2015 12:00:00 PM,      51.000,                        14.486,                        26.266,                        10.195,
6/18/2015 1:00:00 PM ,      52.000,                        14.499,                        26.460,                        10.204,
6/18/2015 2:00:00 PM ,      53.000,                        14.487,                        25.975,                        10.196,
6/18/2015 3:00:00 PM ,      54.000,                        14.469,                        25.490,                        10.183,
6/18/2015 4:00:00 PM ,      55.000,                        14.460,                        25.052,                        10.177,
6/18/2015 5:00:00 PM ,      56.000,                        14.472,                        24.858,                        10.185,
6/18/2015 6:00:00 PM ,      57.000,                        14.473,                        24.663,                        10.186,
6/18/2015 7:00:00 PM ,      58.000,                        14.477,                        24.614,                        10.189,
6/18/2015 8:00:00 PM ,      59.000,                        14.490,                        24.858,                        10.198,
6/18/2015 9:00:00 PM ,      60.000,                        14.506,                        25.150,                        10.209,
6/18/2015 10:00:00 PM,      61.000,                        14.508,                        25.393,                        10.211,
6/18/2015 11:00:00 PM,      62.000,                        14.514,                        25.684,                        10.214,
6/19/2015 12:00:00 AM,      63.000,                        14.530,                        25.927,                        10.226,
6/19/2015 1:00:00 AM ,      64.000,                        14.501,                        25.975,                        10.206,
6/19/2015 2:00:00 AM ,      65.000,                        14.511,                        26.218,                        10.212,
6/19/2015 3:00:00 AM ,      66.000,                        14.529,                        26.218,                        10.225,
6/19/2015 4:00:00 AM ,      67.000,                        14.536,                        26.169,                        10.230,
6/19/2015 5:00:00 AM ,      68.000,                        14.528,                        26.266,                        10.225,
6/19/2015 6:00:00 AM ,      69.000,                        14.525,                        26.218,                        10.222,
6/19/2015 7:00:00 AM ,      70.000,                        14.553,                        26.266,                        10.242,
6/19/2015 8:00:00 AM ,      71.000,                        14.538,                        26.363,                        10.232,
6/19/2015 9:00:00 AM ,      72.000,                        14.550,                        26.266,                        10.240,
6/19/2015 10:00:00 AM,      73.000,                        14.556,                        25.830,                        10.244,
6/19/2015 11:00:00 AM,      74.000,                        14.553,                        25.052,                        10.242,
6/19/2015 12:00:00 PM,      75.000,                        14.525,                        24.321,                        10.222,
6/19/2015 1:00:00 PM ,      76.000,                        14.544,                        23.930,                        10.236,
6/19/2015 2:00:00 PM ,      77.000,                        14.528,                        23.784,                        10.224,
6/19/2015 3:00:00 PM ,      78.000,                        14.528,                        23.735,                        10.224,
6/19/2015 4:00:00 PM ,      79.000,                        14.499,                        23.735,                        10.204,
6/19/2015 5:00:00 PM ,      80.000,                        14.503,                        23.784,                        10.207,
6/19/2015 6:00:00 PM ,      81.000,                        14.495,                        23.833,                        10.201,
6/19/2015 7:00:00 PM ,      82.000,                        14.499,                        23.833,                        10.204,
6/19/2015 8:00:00 PM ,      83.000,                        14.532,                        24.224,                        10.227,
6/19/2015 9:00:00 PM ,      84.000,                        14.540,                        24.809,                        10.233,
6/19/2015 10:00:00 PM,      85.000,                        14.526,                        25.344,                        10.223,
6/19/2015 11:00:00 PM,      86.000,                        14.538,                        25.733,                        10.232,
