Report Date:,10/7/2015 2:09:40 PM
Application:,WinSitu.exe
Application Version:,5.6.22.4


Log File Properties
File Name,SB-2_25m_monitoring_2015-10-07_14-06-03-296.wsl
Create Date,10/7/2015 2:05:57 PM

Device Properties
Device,Rugged TROLL 100
Site,ILJOOK
Device Name, 
Serial Number,361491
Firmware Version,1.01
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6
Used Battery,10

Log Configuration
,Log Name,SB-2_25m_monitoring
,Computer Name,SAN
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,10.1816 (m)
,Head Pressure:,14.4671 (PSI)
,Temperature:,25.0883 (C)



Log Notes:
Date and Time,Note
10/7/2015 2:04:59 PM ,Suspend Command


Log Data:
Record Count,2718

Sensors,1

 ,1,361491,Pressure/Temp  PSIA (90m/250ft)



,,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,Sensor: Pres(A) 250ft         ,
,Elapsed Time,SN#: 361491                   ,SN#: 361491                   ,SN#: 361491                   ,
Date and Time,Hours       ,Pressure (PSI)                ,Temperature (C)               ,Depth (m)                     ,
6/16/2015 9:00:00 AM ,       0.000,                        14.495,                        27.368,                        10.201,
6/16/2015 10:00:00 AM,       1.000,                        14.506,                        27.175,                        10.209,
6/16/2015 11:00:00 AM,       2.000,                        14.512,                        26.885,                        10.213,
6/16/2015 12:00:00 PM,       3.000,                        14.485,                        26.594,                        10.194,
6/16/2015 1:00:00 PM ,       4.000,                        14.480,                        26.449,                        10.191,
6/16/2015 2:00:00 PM ,       5.000,                        14.479,                        26.207,                        10.190,
6/16/2015 3:00:00 PM ,       6.000,                        14.482,                        26.110,                        10.192,
6/16/2015 4:00:00 PM ,       7.000,                        14.463,                        25.721,                        10.179,
6/16/2015 5:00:00 PM ,       8.000,                        14.469,                        25.332,                        10.183,
6/16/2015 6:00:00 PM ,       9.000,                        14.462,                        24.991,                        10.178,
6/16/2015 7:00:00 PM ,      10.000,                        14.481,                        24.698,                        10.191,
6/16/2015 8:00:00 PM ,      11.000,                        14.474,                        24.258,                        10.186,
6/16/2015 9:00:00 PM ,      12.000,                        14.486,                        24.112,                        10.195,
6/16/2015 10:00:00 PM,      13.000,                        14.514,                        24.649,                        10.215,
6/16/2015 11:00:00 PM,      14.000,                        14.501,                        25.137,                        10.205,
6/17/2015 12:00:00 AM,      15.000,                        14.508,                        25.673,                        10.211,
6/17/2015 1:00:00 AM ,      16.000,                        14.490,                        26.110,                        10.198,
6/17/2015 2:00:00 AM ,      17.000,                        14.514,                        26.498,                        10.214,
6/17/2015 3:00:00 AM ,      18.000,                        14.499,                        26.740,                        10.204,
6/17/2015 4:00:00 AM ,      19.000,                        14.484,                        26.982,                        10.193,
6/17/2015 5:00:00 AM ,      20.000,                        14.498,                        27.175,                        10.203,
6/17/2015 6:00:00 AM ,      21.000,                        14.490,                        27.272,                        10.198,
6/17/2015 7:00:00 AM ,      22.000,                        14.503,                        27.416,                        10.207,
6/17/2015 8:00:00 AM ,      23.000,                        14.504,                        27.465,                        10.207,
6/17/2015 9:00:00 AM ,      24.000,                        14.504,                        27.561,                        10.208,
6/17/2015 10:00:00 AM,      25.000,                        14.506,                        27.127,                        10.209,
6/17/2015 11:00:00 AM,      26.000,                        14.492,                        26.352,                        10.199,
6/17/2015 12:00:00 PM,      27.000,                        14.467,                        25.673,                        10.181,
6/17/2015 1:00:00 PM ,      28.000,                        14.447,                        25.235,                        10.168,
6/17/2015 2:00:00 PM ,      29.000,                        14.470,                        24.893,                        10.184,
6/17/2015 3:00:00 PM ,      30.000,                        14.455,                        24.552,                        10.173,
6/17/2015 4:00:00 PM ,      31.000,                        14.471,                        24.356,                        10.184,
6/17/2015 5:00:00 PM ,      32.000,                        14.440,                        24.161,                        10.163,
6/17/2015 6:00:00 PM ,      33.000,                        14.448,                        24.063,                        10.168,
6/17/2015 7:00:00 PM ,      34.000,                        14.459,                        23.867,                        10.176,
6/17/2015 8:00:00 PM ,      35.000,                        14.475,                        23.769,                        10.187,
6/17/2015 9:00:00 PM ,      36.000,                        14.497,                        23.376,                        10.203,
6/17/2015 10:00:00 PM,      37.000,                        14.488,                        23.180,                        10.196,
6/17/2015 11:00:00 PM,      38.000,                        14.508,                        23.131,                        10.211,
6/18/2015 12:00:00 AM,      39.000,                        14.495,                        23.622,                        10.201,
6/18/2015 1:00:00 AM ,      40.000,                        14.503,                        24.161,                        10.207,
6/18/2015 2:00:00 AM ,      41.000,                        14.510,                        24.649,                        10.212,
6/18/2015 3:00:00 AM ,      42.000,                        14.496,                        25.088,                        10.202,
6/18/2015 4:00:00 AM ,      43.000,                        14.515,                        25.429,                        10.215,
6/18/2015 5:00:00 AM ,      44.000,                        14.521,                        25.721,                        10.220,
6/18/2015 6:00:00 AM ,      45.000,                        14.514,                        25.915,                        10.215,
6/18/2015 7:00:00 AM ,      46.000,                        14.515,                        26.061,                        10.215,
6/18/2015 8:00:00 AM ,      47.000,                        14.537,                        26.207,                        10.231,
6/18/2015 9:00:00 AM ,      48.000,                        14.529,                        26.255,                        10.225,
6/18/2015 10:00:00 AM,      49.000,                        14.537,                        26.158,                        10.230,
6/18/2015 11:00:00 AM,      50.000,                        14.528,                        26.110,                        10.224,
6/18/2015 12:00:00 PM,      51.000,                        14.515,                        26.110,                        10.216,
6/18/2015 1:00:00 PM ,      52.000,                        14.524,                        26.158,                        10.222,
6/18/2015 2:00:00 PM ,      53.000,                        14.509,                        25.721,                        10.211,
6/18/2015 3:00:00 PM ,      54.000,                        14.481,                        25.235,                        10.191,
6/18/2015 4:00:00 PM ,      55.000,                        14.462,                        24.893,                        10.178,
6/18/2015 5:00:00 PM ,      56.000,                        14.473,                        24.649,                        10.185,
6/18/2015 6:00:00 PM ,      57.000,                        14.483,                        24.356,                        10.193,
6/18/2015 7:00:00 PM ,      58.000,                        14.496,                        24.454,                        10.202,
6/18/2015 8:00:00 PM ,      59.000,                        14.526,                        24.600,                        10.223,
6/18/2015 9:00:00 PM ,      60.000,                        14.519,                        24.796,                        10.218,
6/18/2015 10:00:00 PM,      61.000,                        14.525,                        25.088,                        10.223,
6/18/2015 11:00:00 PM,      62.000,                        14.540,                        25.381,                        10.233,
6/19/2015 12:00:00 AM,      63.000,                        14.546,                        25.673,                        10.237,
6/19/2015 1:00:00 AM ,      64.000,                        14.539,                        25.867,                        10.232,
6/19/2015 2:00:00 AM ,      65.000,                        14.560,                        25.964,                        10.247,
6/19/2015 3:00:00 AM ,      66.000,                        14.544,                        26.061,                        10.236,
6/19/2015 4:00:00 AM ,      67.000,                        14.545,                        26.110,                        10.236,
6/19/2015 5:00:00 AM ,      68.000,                        14.541,                        26.158,                        10.233,
6/19/2015 6:00:00 AM ,      69.000,                        14.553,                        26.158,                        10.242,
6/19/2015 7:00:00 AM ,      70.000,                        14.570,                        26.207,                        10.254,
6/19/2015 8:00:00 AM ,      71.000,                        14.575,                        26.255,                        10.257,
6/19/2015 9:00:00 AM ,      72.000,                        14.562,                        26.255,                        10.248,
6/19/2015 10:00:00 AM,      73.000,                        14.550,                        25.721,                        10.240,
6/19/2015 11:00:00 AM,      74.000,                        14.553,                        24.942,                        10.242,
6/19/2015 12:00:00 PM,      75.000,                        14.544,                        24.112,                        10.236,
6/19/2015 1:00:00 PM ,      76.000,                        14.559,                        23.965,                        10.247,
6/19/2015 2:00:00 PM ,      77.000,                        14.544,                        23.573,                        10.236,
6/19/2015 3:00:00 PM ,      78.000,                        14.519,                        23.573,                        10.218,
6/19/2015 4:00:00 PM ,      79.000,                        14.523,                        23.425,                        10.221,
6/19/2015 5:00:00 PM ,      80.000,                        14.510,                        23.425,                        10.212,
6/19/2015 6:00:00 PM ,      81.000,                        14.516,                        23.622,                        10.216,
6/19/2015 7:00:00 PM ,      82.000,                        14.520,                        23.622,                        10.219,
6/19/2015 8:00:00 PM ,      83.000,                        14.510,                        24.063,                        10.212,
6/19/2015 9:00:00 PM ,      84.000,                        14.551,                        24.552,                        10.241,
6/19/2015 10:00:00 PM,      85.000,                        14.550,                        24.991,                        10.240,
6/19/2015 11:00:00 PM,      86.000,                        14.532,                        25.527,                        10.227,
